project_id	project_code	TP53	KRAS	BRAF	IDH1	IDH2	PIK3CA	APC	PTEN	NF1	BAP1	VHL	RB1	CDKN2A	SMAD4	ARID1A	TERT	EGFR	ERBB2	ALK	MET	MYC	CTNNB1	POLE	MSH2	MSH6	MLH1	PMS2	BRCA1	BRCA2
TCGA-ACC	ACC	0.184782608695652	0	0.0108695652173913	0	0	0.0108695652173913	0.0326086956521739	0	0.0543478260869565	0.0108695652173913	0	0.0217391304347826	0.0108695652173913	0	0.0108695652173913	0.0108695652173913	0.0217391304347826	0	0.0217391304347826	0	0	0.152173913043478	0.0217391304347826	0.0217391304347826	0.0108695652173913	0.0217391304347826	0.0217391304347826	0	0
TCGA-BLCA	BLCA	0.489051094890511	0.0389294403892944	0.0316301703163017	0.0218978102189781	0.0048661800486618	0.218978102189781	0.0608272506082725	0.0389294403892944	0.0754257907542579	0.0364963503649635	0.0048661800486618	0.187347931873479	0.0656934306569343	0.0194647201946472	0.253041362530414	0.0097323600973236	0.0170316301703163	0.124087591240876	0.0316301703163017	0.0413625304136253	0.0072992700729927	0.0340632603406326	0.0632603406326034	0.0267639902676399	0.024330900243309	0.0218978102189781	0.024330900243309	0.0510948905109489	0.097323600973236
TCGA-BRCA	BRCA	0.339764201500536	0.00643086816720257	0.007502679528403	0.007502679528403	0	0.345123258306538	0.015005359056806	0.0578778135048232	0.0407288317256163	0.0107181136120043	0	0.0257234726688103	0	0.00857449088960343	0.0407288317256163	0.007502679528403	0.0128617363344051	0.0267952840300107	0.0128617363344051	0.0107181136120043	0.00321543408360129	0.00214362272240086	0.0139335476956056	0.007502679528403	0.0107181136120043	0.00857449088960343	0.00964630225080386	0.0267952840300107	0.030010718113612
TCGA-CESC	CESC	0.0824742268041237	0.0549828178694158	0.0103092783505155	0	0.00343642611683849	0.288659793814433	0.0412371134020619	0.0721649484536082	0.0446735395189003	0.0309278350515464	0	0.0652920962199313	0.0206185567010309	0.0412371134020619	0.0618556701030928	0.013745704467354	0.0240549828178694	0.0481099656357388	0.0274914089347079	0.0103092783505155	0.0103092783505155	0.0171821305841924	0.0309278350515464	0.0103092783505155	0.013745704467354	0.0171821305841924	0.00343642611683849	0.0515463917525773	0.0481099656357388
TCGA-CHOL	CHOL	0.111111111111111	0.0555555555555556	0.0277777777777778	0.138888888888889	0.0555555555555556	0.0555555555555556	0.0277777777777778	0.0277777777777778	0	0.194444444444444	0	0	0.0555555555555556	0	0.111111111111111	0	0	0.0555555555555556	0	0	0	0	0.0277777777777778	0	0	0	0	0	0.0277777777777778
TCGA-COAD	COAD	0.549019607843137	0.428921568627451	0.142156862745098	0.0196078431372549	0.0245098039215686	0.316176470588235	0.715686274509804	0.0661764705882353	0.0588235294117647	0.017156862745098	0.00735294117647059	0.0294117647058824	0.00245098039215686	0.120098039215686	0.125	0.0122549019607843	0.0269607843137255	0.0367647058823529	0.071078431372549	0.0367647058823529	0.0220588235294118	0.0686274509803922	0.0784313725490196	0.0392156862745098	0.0465686274509804	0.0465686274509804	0.0269607843137255	0.0318627450980392	0.071078431372549
TCGA-DLBC	DLBC	0.135135135135135	0.0540540540540541	0.027027027027027	0	0	0	0.027027027027027	0.027027027027027	0.0540540540540541	0	0	0	0	0	0.108108108108108	0	0	0	0	0.027027027027027	0.0810810810810811	0	0	0	0	0	0	0.0540540540540541	0
TCGA-ESCA	ESCA	0.85945945945946	0.0108108108108108	0.0108108108108108	0.00540540540540541	0.00540540540540541	0.0918918918918919	0.0378378378378378	0.0324324324324324	0.027027027027027	0	0	0.027027027027027	0.0810810810810811	0.0648648648648649	0.0702702702702703	0.0108108108108108	0.027027027027027	0.0594594594594595	0.0324324324324324	0.0216216216216216	0	0.0378378378378378	0.0324324324324324	0.00540540540540541	0.0324324324324324	0	0.0216216216216216	0.0108108108108108	0.0378378378378378
TCGA-GBM	GBM	0.315136476426799	0.00496277915632754	0.0198511166253102	0.0645161290322581	0.00248138957816377	0.0967741935483871	0.0223325062034739	0.330024813895782	0.119106699751861	0.00496277915632754	0	0.0942928039702233	0.00992555831265509	0.00496277915632754	0.0124069478908189	0.0124069478908189	0.235732009925558	0.0124069478908189	0.00744416873449132	0.0173697270471464	0.00248138957816377	0.00496277915632754	0.0124069478908189	0.00248138957816377	0.0173697270471464	0.00248138957816377	0	0.0173697270471464	0.0148883374689826
TCGA-HNSC	HNSC	0.703339882121807	0.00196463654223969	0.0176817288801572	0.00785854616895874	0.00196463654223969	0.180746561886051	0.0451866404715128	0.0235756385068762	0.0275049115913556	0.00589390962671906	0	0.031434184675835	0.204322200392927	0.0275049115913556	0.037328094302554	0.00589390962671906	0.0275049115913556	0.0176817288801572	0.0333988212180747	0.00785854616895874	0.0117878192534381	0.00982318271119843	0.0216110019646365	0.0117878192534381	0.00589390962671906	0.00982318271119843	0.0117878192534381	0.0216110019646365	0.0412573673870334
