qc_section	group_name	feature_name	metric	value
per_feature	carcinoma_all	median_immune_inflammatory_score	n_imputed_values	0
per_feature	carcinoma_all	median_immune_inflammatory_score	retained_for_group_tree	TRUE
per_feature	carcinoma_all	median_immune_inflammatory_score	drop_reason	
per_feature	carcinoma_all	median_interferon_gamma_score	missing_fraction	0
per_feature	carcinoma_all	median_interferon_gamma_score	n_missing_projects	0
per_feature	carcinoma_all	median_interferon_gamma_score	n_unique_non_missing	20
per_feature	carcinoma_all	median_interferon_gamma_score	raw_sd	0.179190501291461
per_feature	carcinoma_all	median_interferon_gamma_score	imputed_value	-0.214843961104922
per_feature	carcinoma_all	median_interferon_gamma_score	n_imputed_values	0
per_feature	carcinoma_all	median_interferon_gamma_score	retained_for_group_tree	TRUE
per_feature	carcinoma_all	median_interferon_gamma_score	drop_reason	
per_feature	carcinoma_all	median_lineage_or_tissue_PC1	missing_fraction	0
per_feature	carcinoma_all	median_lineage_or_tissue_PC1	n_missing_projects	0
per_feature	carcinoma_all	median_lineage_or_tissue_PC1	n_unique_non_missing	20
per_feature	carcinoma_all	median_lineage_or_tissue_PC1	raw_sd	2.71244100456623
per_feature	carcinoma_all	median_lineage_or_tissue_PC1	imputed_value	-0.0143710923739905
per_feature	carcinoma_all	median_lineage_or_tissue_PC1	n_imputed_values	0
per_feature	carcinoma_all	median_lineage_or_tissue_PC1	retained_for_group_tree	TRUE
per_feature	carcinoma_all	median_lineage_or_tissue_PC1	drop_reason	
per_feature	carcinoma_all	median_lineage_or_tissue_PC2	missing_fraction	0
per_feature	carcinoma_all	median_lineage_or_tissue_PC2	n_missing_projects	0
per_feature	carcinoma_all	median_lineage_or_tissue_PC2	n_unique_non_missing	20
per_feature	carcinoma_all	median_lineage_or_tissue_PC2	raw_sd	1.73789289311918
per_feature	carcinoma_all	median_lineage_or_tissue_PC2	imputed_value	1.08761424624956
per_feature	carcinoma_all	median_lineage_or_tissue_PC2	n_imputed_values	0
per_feature	carcinoma_all	median_lineage_or_tissue_PC2	retained_for_group_tree	TRUE
per_feature	carcinoma_all	median_lineage_or_tissue_PC2	drop_reason	
per_feature	carcinoma_all	median_ploidy	missing_fraction	0
per_feature	carcinoma_all	median_ploidy	n_missing_projects	0
per_feature	carcinoma_all	median_ploidy	n_unique_non_missing	18
per_feature	carcinoma_all	median_ploidy	raw_sd	0.343837763915974
per_feature	carcinoma_all	median_ploidy	imputed_value	2.14
per_feature	carcinoma_all	median_ploidy	n_imputed_values	0
per_feature	carcinoma_all	median_ploidy	retained_for_group_tree	TRUE
per_feature	carcinoma_all	median_ploidy	drop_reason	
per_feature	carcinoma_all	median_proliferation_score	missing_fraction	0
per_feature	carcinoma_all	median_proliferation_score	n_missing_projects	0
per_feature	carcinoma_all	median_proliferation_score	n_unique_non_missing	20
per_feature	carcinoma_all	median_proliferation_score	raw_sd	0.650721414532371
per_feature	carcinoma_all	median_proliferation_score	imputed_value	-0.007932424770851
per_feature	carcinoma_all	median_proliferation_score	n_imputed_values	0
per_feature	carcinoma_all	median_proliferation_score	retained_for_group_tree	TRUE
per_feature	carcinoma_all	median_proliferation_score	drop_reason	
per_feature	carcinoma_all	median_purity	missing_fraction	0
per_feature	carcinoma_all	median_purity	n_missing_projects	0
per_feature	carcinoma_all	median_purity	n_unique_non_missing	17
per_feature	carcinoma_all	median_purity	raw_sd	0.123262663489502
per_feature	carcinoma_all	median_purity	imputed_value	0.635
per_feature	carcinoma_all	median_purity	n_imputed_values	0
per_feature	carcinoma_all	median_purity	retained_for_group_tree	TRUE
per_feature	carcinoma_all	median_purity	drop_reason	
per_feature	carcinoma_all	median_stromal_score	missing_fraction	0
per_feature	carcinoma_all	median_stromal_score	n_missing_projects	0
per_feature	carcinoma_all	median_stromal_score	n_unique_non_missing	20
per_feature	carcinoma_all	median_stromal_score	raw_sd	0.261045283127916
per_feature	carcinoma_all	median_stromal_score	imputed_value	-0.21608856167466
per_feature	carcinoma_all	median_stromal_score	n_imputed_values	0
per_feature	carcinoma_all	median_stromal_score	retained_for_group_tree	TRUE
per_feature	carcinoma_all	median_stromal_score	drop_reason	
per_feature	carcinoma_all	median_total_arm_alteration_count	missing_fraction	0
per_feature	carcinoma_all	median_total_arm_alteration_count	n_missing_projects	0
per_feature	carcinoma_all	median_total_arm_alteration_count	n_unique_non_missing	13
per_feature	carcinoma_all	median_total_arm_alteration_count	raw_sd	4.77355654677549
