qc_section	project_id	project_code	metric	value
per_project	TCGA-BLCA	BLCA	median_stromal_score	-0.212173055787927
per_project	TCGA-BLCA	BLCA	median_epithelial_score	0.553959283166064
per_project	TCGA-BLCA	BLCA	median_EMT_score	-0.248020045938478
per_project	TCGA-BLCA	BLCA	median_hypoxia_score	-0.110582162488951
per_project	TCGA-BLCA	BLCA	median_cell_cycle_score	0.393816170080692
per_project	TCGA-BLCA	BLCA	median_DNA_repair_score	0.138603785799026
per_project	TCGA-BLCA	BLCA	median_angiogenesis_score	-0.257598070064275
per_project	TCGA-BLCA	BLCA	median_lineage_or_tissue_PC1	-1.78910402055221
per_project	TCGA-BLCA	BLCA	median_lineage_or_tissue_PC2	1.69728671665246
per_project	TCGA-BLCA	BLCA	missingness_proliferation_score	0
per_project	TCGA-BLCA	BLCA	missingness_immune_inflammatory_score	0
per_project	TCGA-BLCA	BLCA	missingness_interferon_gamma_score	0
per_project	TCGA-BLCA	BLCA	missingness_cytotoxic_t_cell_score	0
per_project	TCGA-BLCA	BLCA	missingness_stromal_score	0
per_project	TCGA-BLCA	BLCA	missingness_epithelial_score	0
per_project	TCGA-BLCA	BLCA	missingness_EMT_score	0
per_project	TCGA-BLCA	BLCA	missingness_hypoxia_score	0
per_project	TCGA-BLCA	BLCA	missingness_cell_cycle_score	0
per_project	TCGA-BLCA	BLCA	missingness_DNA_repair_score	0
per_project	TCGA-BLCA	BLCA	missingness_angiogenesis_score	0
per_project	TCGA-BLCA	BLCA	missingness_lineage_or_tissue_PC1	0
per_project	TCGA-BLCA	BLCA	missingness_lineage_or_tissue_PC2	0
per_project	TCGA-BRCA	BRCA	n_samples	931
per_project	TCGA-BRCA	BRCA	median_proliferation_score	-0.183840033587076
per_project	TCGA-BRCA	BRCA	median_immune_inflammatory_score	-0.198243766761861
per_project	TCGA-BRCA	BRCA	median_interferon_gamma_score	-0.197521813381929
per_project	TCGA-BRCA	BRCA	median_cytotoxic_t_cell_score	-0.238528074943562
per_project	TCGA-BRCA	BRCA	median_stromal_score	0.289300744845437
per_project	TCGA-BRCA	BRCA	median_epithelial_score	0.145167484809105
per_project	TCGA-BRCA	BRCA	median_EMT_score	-0.112487990147326
per_project	TCGA-BRCA	BRCA	median_hypoxia_score	-0.425263908119894
per_project	TCGA-BRCA	BRCA	median_cell_cycle_score	-0.197742451158253
per_project	TCGA-BRCA	BRCA	median_DNA_repair_score	-0.0509670670997958
per_project	TCGA-BRCA	BRCA	median_angiogenesis_score	-0.144439071038066
per_project	TCGA-BRCA	BRCA	median_lineage_or_tissue_PC1	0.688617810171113
per_project	TCGA-BRCA	BRCA	median_lineage_or_tissue_PC2	0.517777875316479
per_project	TCGA-BRCA	BRCA	missingness_proliferation_score	0
per_project	TCGA-BRCA	BRCA	missingness_immune_inflammatory_score	0
per_project	TCGA-BRCA	BRCA	missingness_interferon_gamma_score	0
per_project	TCGA-BRCA	BRCA	missingness_cytotoxic_t_cell_score	0
per_project	TCGA-BRCA	BRCA	missingness_stromal_score	0
per_project	TCGA-BRCA	BRCA	missingness_epithelial_score	0
per_project	TCGA-BRCA	BRCA	missingness_EMT_score	0
per_project	TCGA-BRCA	BRCA	missingness_hypoxia_score	0
per_project	TCGA-BRCA	BRCA	missingness_cell_cycle_score	0
per_project	TCGA-BRCA	BRCA	missingness_DNA_repair_score	0
per_project	TCGA-BRCA	BRCA	missingness_angiogenesis_score	0
per_project	TCGA-BRCA	BRCA	missingness_lineage_or_tissue_PC1	0
per_project	TCGA-BRCA	BRCA	missingness_lineage_or_tissue_PC2	0
per_project	TCGA-CESC	CESC	n_samples	288
