feature_name	feature_class	pc	loading	abs_loading
mutation_prevalence_IDH1	mutation	PC2	0.117008947091775	0.117008947091775
mutation_prevalence_IDH2	mutation	PC2	0.11460273030009	0.11460273030009
mutation_prevalence_PTEN	mutation	PC2	0.113010821831704	0.113010821831704
mutation_prevalence_MSH2	mutation	PC2	0.0913633083386645	0.0913633083386645
mutation_prevalence_PMS2	mutation	PC2	0.0834777391636008	0.0834777391636008
median_hypoxia_score	expression	PC2	-0.0798866578228039	0.0798866578228039
mutation_prevalence_TP53	mutation	PC2	-0.0773669121174789	0.0773669121174789
mutation_prevalence_POLE	mutation	PC2	0.0760636749435861	0.0760636749435861
mutation_prevalence_MSH6	mutation	PC2	0.0753848924868635	0.0753848924868635
mutation_prevalence_BRAF	mutation	PC2	0.072407604709785	0.072407604709785
tmb_proxy_median_nonsynonymous_count	mutation	PC2	-0.0700599723922665	0.0700599723922665
median_angiogenesis_score	expression	PC2	0.0696239596007384	0.0696239596007384
mutation_prevalence_BRCA1	mutation	PC2	-0.0687629517919213	0.0687629517919213
tmb_proxy_median_total_mutation_count	mutation	PC2	-0.0664234792363746	0.0664234792363746
mutation_prevalence_EGFR	mutation	PC2	0.0661863040079898	0.0661863040079898
tmb_proxy_mean_total_mutation_count	mutation	PC2	0.0645066467954616	0.0645066467954616
median_EMT_score	expression	PC2	0.0636402804716283	0.0636402804716283
mutation_prevalence_MLH1	mutation	PC2	0.0628573985597669	0.0628573985597669
tmb_proxy_mean_nonsynonymous_count	mutation	PC2	0.0591983383434454	0.0591983383434454
mutation_prevalence_MET	mutation	PC2	0.0591673602200068	0.0591673602200068
mutation_prevalence_CDKN2A	mutation	PC2	-0.0515586996744434	0.0515586996744434
mutation_prevalence_ALK	mutation	PC2	0.0469265505290788	0.0469265505290788
mutation_prevalence_VHL	mutation	PC2	0.0385173460322446	0.0385173460322446
mutation_prevalence_BRCA2	mutation	PC2	0.0371637243301302	0.0371637243301302
mutation_prevalence_ARID1A	mutation	PC2	0.0308178333595496	0.0308178333595496
median_epithelial_score	expression	PC2	0.0260575113930509	0.0260575113930509
mutation_prevalence_PIK3CA	mutation	PC2	0.0170044749129306	0.0170044749129306
mutation_prevalence_SMAD4	mutation	PC2	-0.0161798959293091	0.0161798959293091
mutation_prevalence_RB1	mutation	PC2	0.0160246455720101	0.0160246455720101
mutation_prevalence_NF1	mutation	PC2	0.0144870930831536	0.0144870930831536
mutation_prevalence_KRAS	mutation	PC2	-0.00890602328061947	0.00890602328061947
mutation_prevalence_ERBB2	mutation	PC2	-0.0047044406453948	0.0047044406453948
mutation_prevalence_APC	mutation	PC2	-0.00286154015406023	0.00286154015406023
median_stromal_score	expression	PC2	0.000254683105604984	0.000254683105604984
median_arm_loss_count	copy_number_aneuploidy	PC3	-0.34348236620532	0.34348236620532
median_aneuploidy_score	copy_number_aneuploidy	PC3	-0.332978419019961	0.332978419019961
median_total_arm_alteration_count	copy_number_aneuploidy	PC3	-0.332978419019961	0.332978419019961
median_cytotoxic_t_cell_score	expression	PC3	0.270113106485893	0.270113106485893
median_lineage_or_tissue_PC2	expression	PC3	-0.266453786293965	0.266453786293965
median_immune_inflammatory_score	expression	PC3	0.26482083435279	0.26482083435279
median_ploidy	copy_number_aneuploidy	PC3	-0.245488596709038	0.245488596709038
mutation_prevalence_TP53	mutation	PC3	-0.240871649548313	0.240871649548313
median_arm_gain_count	copy_number_aneuploidy	PC3	-0.223797720540873	0.223797720540873
mutation_prevalence_MYC	mutation	PC3	0.203234968333227	0.203234968333227
median_interferon_gamma_score	expression	PC3	0.18234843360804	0.18234843360804
mutation_prevalence_VHL	mutation	PC3	0.126166058504276	0.126166058504276
median_epithelial_score	expression	PC3	-0.120880241913824	0.120880241913824
mutation_prevalence_SMAD4	mutation	PC3	-0.115843721667334	0.115843721667334
mutation_prevalence_BRCA1	mutation	PC3	0.11400424898302	0.11400424898302
mutation_prevalence_PTEN	mutation	PC3	0.111149540297621	0.111149540297621
mutation_prevalence_CDKN2A	mutation	PC3	-0.106107138523569	0.106107138523569
tmb_proxy_mean_total_mutation_count	mutation	PC3	0.103984975280796	0.103984975280796
mutation_prevalence_IDH2	mutation	PC3	0.0993908720270109	0.0993908720270109
median_angiogenesis_score	expression	PC3	0.0954251293738601	0.0954251293738601
tmb_proxy_mean_nonsynonymous_count	mutation	PC3	0.0920188265910277	0.0920188265910277
mutation_prevalence_ARID1A	mutation	PC3	0.0865353966321652	0.0865353966321652
median_stromal_score	expression	PC3	-0.0847787017461493	0.0847787017461493
mutation_prevalence_MET	mutation	PC3	0.0840024069076516	0.0840024069076516
mutation_prevalence_KRAS	mutation	PC3	-0.0829097606849613	0.0829097606849613
mutation_prevalence_RB1	mutation	PC3	-0.0824987848902452	0.0824987848902452
mutation_prevalence_TERT	mutation	PC3	0.0670769747713733	0.0670769747713733
mutation_prevalence_BRAF	mutation	PC3	0.0664720883187466	0.0664720883187466
median_DNA_repair_score	expression	PC3	0.065555653812026	0.065555653812026
mutation_prevalence_BAP1	mutation	PC3	0.0641568153665307	0.0641568153665307
mutation_prevalence_MSH2	mutation	PC3	0.0631314095334085	0.0631314095334085
mutation_prevalence_APC	mutation	PC3	-0.0607615130415959	0.0607615130415959
median_lineage_or_tissue_PC1	expression	PC3	-0.0535538961846057	0.0535538961846057
median_purity	copy_number_aneuploidy	PC3	-0.0523955729850809	0.0523955729850809
mutation_prevalence_POLE	mutation	PC3	0.0491424802509461	0.0491424802509461
mutation_prevalence_MLH1	mutation	PC3	0.0482020346624011	0.0482020346624011
mutation_prevalence_PMS2	mutation	PC3	0.0424313473792703	0.0424313473792703
mutation_prevalence_MSH6	mutation	PC3	0.0413781154969921	0.0413781154969921
median_proliferation_score	expression	PC3	0.0408840993610414	0.0408840993610414
mutation_prevalence_ERBB2	mutation	PC3	-0.0405854064658064	0.0405854064658064
mutation_prevalence_CTNNB1	mutation	PC3	0.0392166893080296	0.0392166893080296
median_cell_cycle_score	expression	PC3	0.0375767042632408	0.0375767042632408
mutation_prevalence_IDH1	mutation	PC3	0.0356483814844074	0.0356483814844074
median_hypoxia_score	expression	PC3	0.0260247597841628	0.0260247597841628
mutation_prevalence_PIK3CA	mutation	PC3	-0.022194381154164	0.022194381154164
mutation_prevalence_ALK	mutation	PC3	0.0217767186190923	0.0217767186190923
tmb_proxy_median_nonsynonymous_count	mutation	PC3	-0.0178230042812045	0.0178230042812045
mutation_prevalence_NF1	mutation	PC3	0.0156621450627872	0.0156621450627872
mutation_prevalence_BRCA2	mutation	PC3	0.0141726051570764	0.0141726051570764
median_EMT_score	expression	PC3	-0.0104275710684804	0.0104275710684804
tmb_proxy_median_total_mutation_count	mutation	PC3	-0.00935379264363435	0.00935379264363435
mutation_prevalence_EGFR	mutation	PC3	0.00188100590627236	0.00188100590627236
median_hypoxia_score	expression	PC4	0.285310359629755	0.285310359629755
median_angiogenesis_score	expression	PC4	0.277865373986112	0.277865373986112
tmb_proxy_median_nonsynonymous_count	mutation	PC4	0.27416106610819	0.27416106610819
tmb_proxy_median_total_mutation_count	mutation	PC4	0.27121577511216	0.27121577511216
mutation_prevalence_VHL	mutation	PC4	0.253911541573178	0.253911541573178
median_lineage_or_tissue_PC2	expression	PC4	-0.248738787232803	0.248738787232803
mutation_prevalence_IDH2	mutation	PC4	-0.228804890068319	0.228804890068319
median_EMT_score	expression	PC4	0.220373109031147	0.220373109031147
median_epithelial_score	expression	PC4	-0.199543296966207	0.199543296966207
mutation_prevalence_NF1	mutation	PC4	0.182029313793317	0.182029313793317
mutation_prevalence_CDKN2A	mutation	PC4	0.177599933908746	0.177599933908746
mutation_prevalence_APC	mutation	PC4	-0.174976397841925	0.174976397841925
mutation_prevalence_BRAF	mutation	PC4	0.158792875070271	0.158792875070271
mutation_prevalence_TERT	mutation	PC4	0.15744327484203	0.15744327484203
mutation_prevalence_PIK3CA	mutation	PC4	-0.155875424732463	0.155875424732463
mutation_prevalence_ALK	mutation	PC4	0.154395014250437	0.154395014250437
mutation_prevalence_KRAS	mutation	PC4	-0.141022986786271	0.141022986786271
mutation_prevalence_SMAD4	mutation	PC4	-0.137543056403403	0.137543056403403
mutation_prevalence_EGFR	mutation	PC4	0.131348146993259	0.131348146993259
mutation_prevalence_MSH2	mutation	PC4	-0.115654952064491	0.115654952064491
median_lineage_or_tissue_PC1	expression	PC4	0.113040401466867	0.113040401466867
median_DNA_repair_score	expression	PC4	-0.111440730190259	0.111440730190259
median_stromal_score	expression	PC4	0.110596527872861	0.110596527872861
mutation_prevalence_MSH6	mutation	PC4	-0.107425120413095	0.107425120413095
median_cell_cycle_score	expression	PC4	-0.105462230612622	0.105462230612622
mutation_prevalence_ARID1A	mutation	PC4	-0.104797076879569	0.104797076879569
median_proliferation_score	expression	PC4	-0.100933235924074	0.100933235924074
median_aneuploidy_score	copy_number_aneuploidy	PC4	0.092655396113655	0.092655396113655
median_total_arm_alteration_count	copy_number_aneuploidy	PC4	0.092655396113655	0.092655396113655
median_arm_loss_count	copy_number_aneuploidy	PC4	0.0897830913707959	0.0897830913707959
median_interferon_gamma_score	expression	PC4	0.0813183786719822	0.0813183786719822
median_purity	copy_number_aneuploidy	PC4	-0.0784447523608409	0.0784447523608409
mutation_prevalence_MLH1	mutation	PC4	-0.0782252040955723	0.0782252040955723
mutation_prevalence_CTNNB1	mutation	PC4	-0.0678581621106099	0.0678581621106099
mutation_prevalence_MET	mutation	PC4	0.0677225339819657	0.0677225339819657
mutation_prevalence_BRCA1	mutation	PC4	0.0618775557226655	0.0618775557226655
median_arm_gain_count	copy_number_aneuploidy	PC4	0.0615231626977345	0.0615231626977345
mutation_prevalence_RB1	mutation	PC4	0.0578209826731184	0.0578209826731184
mutation_prevalence_PTEN	mutation	PC4	-0.0572725779447346	0.0572725779447346
median_immune_inflammatory_score	expression	PC4	-0.0557223551399503	0.0557223551399503
mutation_prevalence_IDH1	mutation	PC4	-0.0474388007534233	0.0474388007534233
median_cytotoxic_t_cell_score	expression	PC4	-0.041619205965397	0.041619205965397
median_ploidy	copy_number_aneuploidy	PC4	0.0410660755233403	0.0410660755233403
mutation_prevalence_ERBB2	mutation	PC4	-0.0377786446763164	0.0377786446763164
mutation_prevalence_MYC	mutation	PC4	-0.0325146172876849	0.0325146172876849
