project_id	project_code	cancer_name	disease_type	primary_site	broad_group	major_cancer_group	level2_group	lineage_notes	tmb_proxy_median_nonsynonymous_count	tmb_proxy_mean_nonsynonymous_count	tmb_proxy_median_total_mutation_count	tmb_proxy_mean_total_mutation_count	mutation_prevalence_TP53	mutation_prevalence_KRAS	mutation_prevalence_BRAF	mutation_prevalence_IDH1	mutation_prevalence_IDH2	mutation_prevalence_PIK3CA	mutation_prevalence_APC	mutation_prevalence_PTEN	mutation_prevalence_NF1	mutation_prevalence_BAP1	mutation_prevalence_VHL	mutation_prevalence_RB1	mutation_prevalence_CDKN2A	mutation_prevalence_SMAD4	mutation_prevalence_ARID1A	mutation_prevalence_TERT	mutation_prevalence_EGFR	mutation_prevalence_ERBB2	mutation_prevalence_ALK	mutation_prevalence_MET	mutation_prevalence_MYC	mutation_prevalence_CTNNB1	mutation_prevalence_POLE	mutation_prevalence_MSH2	mutation_prevalence_MSH6	mutation_prevalence_MLH1	mutation_prevalence_PMS2	mutation_prevalence_BRCA1	mutation_prevalence_BRCA2	median_purity	median_ploidy	median_aneuploidy_score	median_arm_gain_count	median_arm_loss_count	median_total_arm_alteration_count	median_proliferation_score	median_immune_inflammatory_score	median_interferon_gamma_score	median_cytotoxic_t_cell_score	median_stromal_score	median_epithelial_score	median_EMT_score	median_hypoxia_score	median_cell_cycle_score	median_DNA_repair_score	median_angiogenesis_score	median_lineage_or_tissue_PC1	median_lineage_or_tissue_PC2
TCGA-BLCA	BLCA	Bladder Urothelial Carcinoma	Epithelial Neoplasms, NOS;Squamous Cell Neoplasms;Transitional Cell Papillomas and Carcinomas;Adenomas and Adenocarcinomas	Bladder	Carcinoma	Carcinoma	urothelial	Urothelial carcinoma.	1.42058587141511	0.168176175652281	1.43557962671234	0.114449356220778	0.23347194318837	-0.413853589425736	-0.181368940266129	0.199038399431823	-0.304159439750483	0.632811873312217	-0.232427955286973	-0.246301705808766	0.694752155625075	0.0877855928202881	-0.213259433325545	3.17132770048229	0.300247151319982	-0.406432122309064	1.5242596568843	-0.0907523126915536	-0.225847939739974	2.99006261846035	0.130297598471394	0.719079090254511	0.0329057527192581	-0.15407342800871	0.785267892716811	0.629885063652794	0.184165598963762	0.462481556653522	0.679865534816234	1.13100626484364	1.43101604339581	-0.194706160978291	2.1907134091998	0.932218976856144	0.951252472528069	0.499363809612381	0.932218976856144	0.577274805618916	-0.669911534294967	-0.510125486948612	-0.614223304165338	-0.173865104179965	0.856893689531917	-0.220644756147084	-0.203656981571353	0.67579728016619	0.473062825825019	-0.284903395556573	-0.693540176902847	0.572846067580332
TCGA-BRCA	BRCA	Breast Invasive Carcinoma	Adnexal and Skin Appendage Neoplasms;Adenomas and Adenocarcinomas;Ductal and Lobular Neoplasms;Cystic, Mucinous and Serous Neoplasms;Complex Epithelial Neoplasms;Fibroepithelial Neoplasms;Squamous Cell Neoplasms;Epithelial Neoplasms, NOS;Basal Cell Neoplasms	Breast	Carcinoma	Carcinoma	breast	Breast carcinoma with molecular subtypes.	-0.771466489979017	-0.526336706165521	-0.821476929251992	-0.512124651342441	-0.271860392819621	-0.588154593409204	-0.366326508434325	-0.273541190142082	-0.614375841198745	1.53514768686548	-0.437010935968213	-0.108893061229265	-0.188164031676975	-0.470091820771017	-0.260414289068359	-0.344990755604144	-0.700189333827807	-0.600721063140233	-0.463453494216852	-0.32405558478831	-0.367270925780413	-0.144792480414191	-0.644225594444258	-0.442476353665457	-0.400393560317795	-0.580440440216676	-0.57667115691657	-0.421210482931337	-0.353357625366596	-0.338588558065999	-0.227944818226781	0.061613676492249	-0.433547537321236	-0.275833728052579	-0.194132253652953	0.303756745267732	-0.0500659196067405	0.205620392193333	0.303756745267732	-0.209767938907508	-0.193557847159341	-0.101558807529028	-0.725020310144621	1.74715715917821	-0.0611763205210351	0.485083657623514	-0.829093689819717	-0.23041879423474	0.0487367969291685	-0.136418391675635	0.21992552670222	-0.105854470298614
TCGA-CESC	CESC	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	Squamous Cell Neoplasms;Cystic, Mucinous and Serous Neoplasms;Complex Epithelial Neoplasms;Adenomas and Adenocarcinomas	Cervix uteri;Ovary	Carcinoma	Carcinoma	gynecologic_squamous_adeno	Mixed squamous and adenocarcinoma cohort.	-0.00679706158571831	-0.058903878070477	0.301322778791177	0.0625808467134326	-1.14278041126449	-0.327753812703586	-0.344811561126916	-0.519847617534134	-0.395305495846106	1.13125579171128	-0.319892888005857	-0.00528649636654992	-0.0877850226118871	-0.0327249351248047	-0.260414289068359	0.515868312134806	-0.386192086484744	-0.0179981327998487	-0.265659730820435	0.329185137825167	0.012350811239723	0.541987802920913	-0.0404980407961127	-0.457972971751648	0.352270811030729	-0.37956335815871	-0.10744982318201	-0.268053537232865	-0.233808230918716	0.178949357759991	-0.611842957515698	1.15087621960228	0.0678007385878206	0.292059241467437	-0.310466188426258	-0.32470548632068	0.450593276460664	-0.381866442644762	-0.32470548632068	2.12662975699032	1.54032534745565	1.77965346459737	1.7243947386184	-0.798169263179473	-0.191340997163118	-0.698045164045601	0.460859196106136	1.96533653859887	1.50724707137157	-0.461351035253607	-1.88223012223071	0.373728094534659
TCGA-CHOL	CHOL	Cholangiocarcinoma	Adenomas and Adenocarcinomas	Liver and intrahepatic bile ducts;Other and unspecified parts of biliary tract;Pancreas	Carcinoma	Carcinoma	gi_hepatobiliary	Biliary tract carcinoma.	-0.771466489979017	-0.617701025293647	-0.672534110838102	-0.539455395440754	-1.04584528645727	-0.324682023794488	-0.210900778525583	4.03975350859254	2.92726140866891	-0.536174880595741	-0.379985365788283	-0.327170645580729	-1.22457027093165	3.5060051960917	-0.260414289068359	-0.904633288331392	0.145858804846558	-0.753695688967072	0.195479738827451	-1.10910063019459	-0.803479910865739	0.78189213033787	-1.17499513556694	-0.848739044033177	-0.74155451368605	-0.609073911134563	-0.194424583840112	-0.830633971629218	-0.77657993417843	-0.85413338820845	-0.82428481039622	-1.11761028200856	-0.495399876000492	0.900515994524597	-0.950302829679437	-0.115218075791209	-0.550725115674145	0.205620392193333	-0.115218075791209	-0.725053857063849	-0.66975175305999	-0.098673808755839	-0.604369466043509	-0.203863775979868	1.0897843029439	0.318203935831953	-0.324565519884402	-0.748945818187712	-0.517468712596023	-0.233398531295034	0.579723882494775	0.235643849103808
TCGA-COAD	COAD	Colon Adenocarcinoma	Cystic, Mucinous and Serous Neoplasms;Complex Epithelial Neoplasms;Epithelial Neoplasms, NOS;Adenomas and Adenocarcinomas	Colon;Rectosigmoid junction	Carcinoma	Carcinoma	gi_colorectal	Colorectal adenocarcinoma.	0.485989903378852	0.992854302349192	0.519008436473016	0.896302350203646	0.436463833830197	1.67780813137293	0.66591138527678	0.123860776742573	0.94811118080169	1.3280868368922	2.69134944672852	-0.0487133711466789	0.272282703100256	-0.330748205163901	-0.189161915133446	-0.264747892455751	-0.662863680650997	1.38893328435572	0.325510345094444	0.173194585778901	0.110901791325993	0.1764322270944	1.75822207729183	0.544801728441389	1.59890996787705	0.307618238692524	1.20414817176905	1.30937787685886	1.06225875903416	1.94582470123249	0.842446491247287	0.284625736879314	0.704026122176194	0.210931674393149	-0.1359652862663	0.303756745267732	0.951252472528069	-0.0881230252257143	0.303756745267732	0.903171899523135	-0.112079639452886	-0.503985636077602	-0.0991027540437734	-0.304645032144161	2.13909165046129	-0.945640796880375	-0.0298752284982142	0.886706734193975	0.792317730306536	-0.431496662356552	-0.855094319205764	1.06238006713082
TCGA-ESCA	ESCA	Esophageal Carcinoma	Squamous Cell Neoplasms;Cystic, Mucinous and Serous Neoplasms;Adenomas and Adenocarcinomas	Esophagus;Stomach	Carcinoma	Carcinoma	gi_esophageal	Mixed squamous and adenocarcinoma cohort.	0.299070709771601	-0.286669275868898	0.679408394764898	-0.186473750785304	1.48729483342406	-0.564663456784686	-0.340966891781517	-0.342392871003799	-0.269784108779189	-0.27625544635884	-0.335069780611977	-0.293416307771243	-0.536827012592666	-0.702046921414443	-0.260414289068359	-0.316630492121345	0.534583625318563	0.403536683166235	-0.186880530411701	0.0220916900587817	0.113148429414915	0.907679804713246	0.163404815426211	-0.0291864167616488	-0.74155451368605	-0.103654455554224	-0.0659070873787307	-0.535659365486266	0.504067895404621	-0.85413338820845	0.512376361241224	-0.64184122113018	-0.216736701717322	-0.194706160978291	0.969207094080099	1.14170638738562	0.951252472528069	0.793107227031429	1.14170638738562	1.12619882572176	-0.383576976789677	0.095342661957593	-0.593297932001892	-0.152745599531534	-0.341211480997998	-0.0782080264656317	-0.127675706843488	1.0726797888201	1.97572425501793	-0.307120582837203	-0.974854466724589	0.459703384391261
TCGA-HNSC	HNSC	Head and Neck Squamous Cell Carcinoma	Squamous Cell Neoplasms	Lip;Tonsil;Gum;Bones, joints and articular cartilage of other and unspecified sites;Palate;Other and unspecified parts of tongue;Floor of mouth;Other and ill-defined sites in lip, oral cavity and pharynx;Larynx;Base of tongue;Other and unspecified parts of mouth;Oropharynx;Hypopharynx	Carcinoma	Carcinoma	pan_squamous	Squamous carcinoma.	0.333056017700192	-0.202671142654906	0.312779918669169	-0.223542743548088	0.958834036088495	-0.612108527475407	-0.288295509234492	-0.261858398609875	-0.489131301910694	0.359335751950645	-0.302259263709881	-0.357643460213858	-0.52466652275956	-0.574494401433903	-0.260414289068359	-0.220747914350354	2.41140617815335	-0.262989755138443	-0.495291890535898	-0.492389689388477	0.129356003211627	-0.438440309820399	0.203285102112651	-0.550866281665333	0.509145562905625	-0.477860608745618	-0.364692551615333	-0.187369113439284	-0.543849238232591	-0.263510443067356	-0.0955549967824858	-0.166539516893135	-0.122015899550635	-1.16823696586975	-0.339549672119584	0.0942693347382617	0.450593276460664	0.205620392193333	0.0942693347382617	0.76320133329178	1.24756862059939	1.61530663731098	0.96399156185136	0.126345520284891	-1.28007147070316	1.0141239973525	1.27121282701086	0.850555395942277	0.521378912797214	-0.372193655354748	-0.996768520937497	-0.401617898009913
TCGA-KICH	KICH	Kidney Chromophobe	Adenomas and Adenocarcinomas	Kidney	Carcinoma	Carcinoma	kidney	Renal epithelial carcinoma.	-1.14530487719352	-0.773618134919174	-1.19956254522571	-0.732594855780804	-0.344916211260278	-0.622645547976948	-0.423840875449014	-0.519847617534134	-0.614375841198745	-0.933572362693485	-0.504006011424353	0.130641120896916	-0.839017232165854	-0.702046921414443	-0.113591215505508	-0.245357425914066	-0.700189333827807	-0.753695688967072	-0.84476511130848	-1.10910063019459	-0.803479910865739	-1.00816323577325	-0.549732532198927	-0.848739044033177	-0.74155451368605	-0.40668733260131	-0.54304242614738	-0.830633971629218	-0.77657993417843	-0.85413338820845	-0.82428481039622	-1.11761028200856	-1.26484296917044	1.83348301587891	-1.76464037309257	0.932218976856144	-1.55204350780896	1.96808089670762	0.932218976856144	-1.2220567760874	-1.1674931929595	-1.71656267963327	-0.859201651418274	-0.989499133090449	-0.70577903133054	-1.42898337259253	-0.657018355648969	-1.23729386229762	-1.32599236419938	0.122446935389534	1.29584363181331	0.208425679949452
TCGA-KIRC	KIRC	Kidney Renal Clear Cell Carcinoma	Adenomas and Adenocarcinomas	Kidney	Carcinoma	Carcinoma	kidney	Renal epithelial carcinoma.	-0.584547296371766	-0.659431817841245	-0.683991250716094	-0.639104344778001	-1.31217061206277	-0.593654502380817	-0.40312237953214	-0.342392871003799	-0.442079974988967	-0.8175752598109	-0.431604769647621	-0.254217721927967	-0.674375664260463	1.52058446729152	4.24427633548699	-0.787032729089382	-0.700189333827807	-0.753695688967072	-0.490519567748676	-0.26070639000456	-0.620154242809608	-0.746911912070548	-0.728861818569226	-0.541406808806354	-0.74155451368605	-0.572972521450254	-0.513645462147417	-0.683146668557742	-0.563138629247922	-0.691632264383144	-0.65720216394154	-0.64184122113018	-0.665925102054374	-0.600343996349731	-0.717634960132826	-1.16265512843856	-1.05138431174155	-0.969353277482857	-1.16265512843856	-1.11260394108255	2.11663210154396	1.15734405865541	2.67944550247938	0.349606396004437	-1.70500102281691	2.27744600606369	3.39710423594301	-1.13746579571551	-0.855757881891003	4.11956597351987	1.37254186639062	-3.81612743747419
TCGA-KIRP	KIRP	Kidney Renal Papillary Cell Carcinoma	Adenomas and Adenocarcinomas	Kidney	Carcinoma	Carcinoma	kidney	Renal epithelial carcinoma.	-0.346650140871629	-0.560602666908703	-0.397562753766306	-0.53764764839919	-1.33792937954662	-0.527550806216589	-0.315105506807262	-0.519847617534134	-0.162251936960321	-0.857474972504555	-0.440676320035722	-0.322884748192428	-0.683155365430746	0.449091955714899	-0.157325748056145	-0.904633288331392	-0.646186261146465	-0.627166144732638	-0.44637346657557	1.85927638039936	-0.683213071892745	-0.665386676305166	-0.735980967244722	2.10833470862207	-0.74155451368605	-0.514339767991339	-0.863474145034062	0.136924576889329	-0.496532831964642	-0.427711999447008	-0.605062898381214	-0.649433280612283	-0.577255524210061	1.14389869574746	-0.281382704732931	-0.32470548632068	1.45191166859547	-1.55684011232095	-0.32470548632068	-1.17995843961211	-0.985492284673945	-1.07132762118002	-0.838251461830508	-1.17487525750165	-0.96957644424028	-0.824444535071376	-0.239421781159582	-1.20581928855533	-1.00925682000085	-0.556484742085642	1.04473556953318	0.280688147774527
