qc_section	feature_name	metric	value
per_feature	median_stromal_score	n_missing_projects	0
per_feature	median_stromal_score	imputed_value	-0.28769765247401
per_feature	median_stromal_score	n_imputed_values	0
per_feature	median_stromal_score	retained_for_tree	TRUE
per_feature	median_stromal_score	drop_reason	
per_feature	median_total_arm_alteration_count	missing_fraction	0
per_feature	median_total_arm_alteration_count	n_missing_projects	0
per_feature	median_total_arm_alteration_count	imputed_value	9
per_feature	median_total_arm_alteration_count	n_imputed_values	0
per_feature	median_total_arm_alteration_count	retained_for_tree	TRUE
per_feature	median_total_arm_alteration_count	drop_reason	
per_feature	mutation_prevalence_ALK	missing_fraction	0
per_feature	mutation_prevalence_ALK	n_missing_projects	0
per_feature	mutation_prevalence_ALK	imputed_value	0.0142857142857143
per_feature	mutation_prevalence_ALK	n_imputed_values	0
per_feature	mutation_prevalence_ALK	retained_for_tree	TRUE
per_feature	mutation_prevalence_ALK	drop_reason	
per_feature	mutation_prevalence_APC	missing_fraction	0
per_feature	mutation_prevalence_APC	n_missing_projects	0
per_feature	mutation_prevalence_APC	imputed_value	0.0251046025104603
per_feature	mutation_prevalence_APC	n_imputed_values	0
per_feature	mutation_prevalence_APC	retained_for_tree	TRUE
per_feature	mutation_prevalence_APC	drop_reason	
per_feature	mutation_prevalence_ARID1A	missing_fraction	0
per_feature	mutation_prevalence_ARID1A	n_missing_projects	0
per_feature	mutation_prevalence_ARID1A	imputed_value	0.0407288317256163
per_feature	mutation_prevalence_ARID1A	n_imputed_values	0
per_feature	mutation_prevalence_ARID1A	retained_for_tree	TRUE
per_feature	mutation_prevalence_ARID1A	drop_reason	
per_feature	mutation_prevalence_BAP1	missing_fraction	0
per_feature	mutation_prevalence_BAP1	n_missing_projects	0
per_feature	mutation_prevalence_BAP1	imputed_value	0.0107181136120043
per_feature	mutation_prevalence_BAP1	n_imputed_values	0
per_feature	mutation_prevalence_BAP1	retained_for_tree	TRUE
per_feature	mutation_prevalence_BAP1	drop_reason	
per_feature	mutation_prevalence_BRAF	missing_fraction	0
per_feature	mutation_prevalence_BRAF	n_missing_projects	0
per_feature	mutation_prevalence_BRAF	imputed_value	0.0121951219512195
per_feature	mutation_prevalence_BRAF	n_imputed_values	0
per_feature	mutation_prevalence_BRAF	retained_for_tree	TRUE
per_feature	mutation_prevalence_BRAF	drop_reason	
per_feature	mutation_prevalence_BRCA1	missing_fraction	0
per_feature	mutation_prevalence_BRCA1	n_missing_projects	0
per_feature	mutation_prevalence_BRCA1	imputed_value	0.0108108108108108
per_feature	mutation_prevalence_BRCA1	n_imputed_values	0
per_feature	mutation_prevalence_BRCA1	retained_for_tree	TRUE
per_feature	mutation_prevalence_BRCA1	drop_reason	
per_feature	mutation_prevalence_BRCA2	missing_fraction	0
per_feature	mutation_prevalence_BRCA2	n_missing_projects	0
per_feature	mutation_prevalence_BRCA2	imputed_value	0.0219178082191781
per_feature	mutation_prevalence_BRCA2	n_imputed_values	0
per_feature	mutation_prevalence_BRCA2	retained_for_tree	TRUE
per_feature	mutation_prevalence_BRCA2	drop_reason	
per_feature	mutation_prevalence_CDKN2A	missing_fraction	0
per_feature	mutation_prevalence_CDKN2A	n_missing_projects	0
per_feature	mutation_prevalence_CDKN2A	imputed_value	0.00543478260869565
per_feature	mutation_prevalence_CDKN2A	n_imputed_values	0
per_feature	mutation_prevalence_CDKN2A	retained_for_tree	TRUE
per_feature	mutation_prevalence_CDKN2A	drop_reason	
per_feature	mutation_prevalence_CTNNB1	missing_fraction	0
per_feature	mutation_prevalence_CTNNB1	n_missing_projects	0
per_feature	mutation_prevalence_CTNNB1	imputed_value	0.00813008130081301
per_feature	mutation_prevalence_CTNNB1	n_imputed_values	0
per_feature	mutation_prevalence_CTNNB1	retained_for_tree	TRUE
per_feature	mutation_prevalence_CTNNB1	drop_reason	
per_feature	mutation_prevalence_EGFR	missing_fraction	0
per_feature	mutation_prevalence_EGFR	n_missing_projects	0
per_feature	mutation_prevalence_EGFR	imputed_value	0.0145631067961165
per_feature	mutation_prevalence_EGFR	n_imputed_values	0
per_feature	mutation_prevalence_EGFR	retained_for_tree	TRUE
per_feature	mutation_prevalence_EGFR	drop_reason	
per_feature	mutation_prevalence_ERBB2	missing_fraction	0
per_feature	mutation_prevalence_ERBB2	n_missing_projects	0
per_feature	mutation_prevalence_ERBB2	imputed_value	0.0112359550561798
per_feature	mutation_prevalence_ERBB2	n_imputed_values	0
per_feature	mutation_prevalence_ERBB2	retained_for_tree	TRUE
per_feature	mutation_prevalence_ERBB2	drop_reason	
per_feature	mutation_prevalence_IDH1	missing_fraction	0
per_feature	mutation_prevalence_IDH1	n_missing_projects	0
per_feature	mutation_prevalence_IDH1	imputed_value	0.00662251655629139
per_feature	mutation_prevalence_IDH1	n_imputed_values	0
per_feature	mutation_prevalence_IDH1	retained_for_tree	TRUE
per_feature	mutation_prevalence_IDH1	drop_reason	
per_feature	mutation_prevalence_IDH2	missing_fraction	0
per_feature	mutation_prevalence_IDH2	n_missing_projects	0
per_feature	mutation_prevalence_IDH2	imputed_value	0.0027027027027027
per_feature	mutation_prevalence_IDH2	n_imputed_values	0
per_feature	mutation_prevalence_IDH2	retained_for_tree	TRUE
per_feature	mutation_prevalence_IDH2	drop_reason	
per_feature	mutation_prevalence_KRAS	missing_fraction	0
per_feature	mutation_prevalence_KRAS	n_missing_projects	0
per_feature	mutation_prevalence_KRAS	imputed_value	0.0145631067961165
per_feature	mutation_prevalence_KRAS	n_imputed_values	0
per_feature	mutation_prevalence_KRAS	retained_for_tree	TRUE
per_feature	mutation_prevalence_KRAS	drop_reason	
per_feature	mutation_prevalence_MET	missing_fraction	0
per_feature	mutation_prevalence_MET	n_missing_projects	0
per_feature	mutation_prevalence_MET	imputed_value	0.0103092783505155
per_feature	mutation_prevalence_MET	n_imputed_values	0
per_feature	mutation_prevalence_MET	retained_for_tree	TRUE
per_feature	mutation_prevalence_MET	drop_reason	
per_feature	mutation_prevalence_MLH1	missing_fraction	0
per_feature	mutation_prevalence_MLH1	n_missing_projects	0
per_feature	mutation_prevalence_MLH1	imputed_value	0.00418410041841004
per_feature	mutation_prevalence_MLH1	n_imputed_values	0
per_feature	mutation_prevalence_MLH1	retained_for_tree	TRUE
per_feature	mutation_prevalence_MLH1	drop_reason	
per_feature	mutation_prevalence_MSH2	missing_fraction	0
per_feature	mutation_prevalence_MSH2	n_missing_projects	0
per_feature	mutation_prevalence_MSH2	imputed_value	0.00561797752808989
per_feature	mutation_prevalence_MSH2	n_imputed_values	0
per_feature	mutation_prevalence_MSH2	retained_for_tree	TRUE
per_feature	mutation_prevalence_MSH2	drop_reason	
per_feature	mutation_prevalence_MSH6	missing_fraction	0
per_feature	mutation_prevalence_MSH6	n_missing_projects	0
per_feature	mutation_prevalence_MSH6	imputed_value	0.00728155339805825
per_feature	mutation_prevalence_MSH6	n_imputed_values	0
per_feature	mutation_prevalence_MSH6	retained_for_tree	TRUE
per_feature	mutation_prevalence_MSH6	drop_reason	
per_feature	mutation_prevalence_MYC	missing_fraction	0
per_feature	mutation_prevalence_MYC	n_missing_projects	0
