project_code	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
ACC	0	1.07191613413572	0.985023870973824	1.33579478861782	1.09841607267549	1.11357103512083	1.32606264355219	0.915916172711241	0.93970848757677	1.1422931997768	0.669991732169188	1.04394083950902	0.720027890557521	1.22035343019481	1.01212784708975	0.577361127169954	0.872207879653165	0.996342688848591	1.09215578318599	0.865591199834291	1.1728989366187	0.809628728057527	1.16947888998234	1.00165691746553	0.898720942282134	1.0558217555199	1.30766220321384	0.72885835210865	1.09801317217552	1.35130814985228	1.17660094146881	0.721938165517704	0.760710157114007
BLCA	1.07191613413572	0	0.821598333898946	0.675336622638143	1.04630908457392	0.886575565468544	1.18793783724489	0.629578581341509	1.15058916285798	0.946356914062767	1.1685889677536	1.29951765192745	1.05559985841667	1.36610079697282	1.26676266261193	1.0593410815074	0.760850276740646	0.613634714312547	1.30608898244089	0.800503019923209	1.22022557890005	1.35753373816863	1.21145020667069	0.856847616872394	1.15095914925095	0.854255210137808	0.540281707238034	1.00346840701706	1.29793638421913	1.19901076987236	0.765982209175023	0.794834542091884	1.32244595477454
BRCA	0.985023870973824	0.821598333898946	0	0.838324658495393	0.992637554173088	0.971293202564746	1.18440838680463	0.872525878102159	1.0534097257097	0.990143111515304	0.827585591193625	1.12882859157108	1.1081589076522	1.31760219285048	1.06869224386709	1.14382413013019	1.01494822628261	0.973240955750307	0.914745954751949	0.890248848569932	0.969810426224695	1.01679625673245	0.880045236783534	0.965097239857235	0.756118844647548	1.2878978789601	0.898781155401187	0.886845809939088	1.05045006639645	1.17464355735837	1.07096838504087	0.69745757403501	1.12649949588966
CESC	1.33579478861782	0.675336622638143	0.838324658495393	0	1.15271423082497	0.774849634839425	0.611933613874243	0.777723825599949	1.0898266579538	0.730837109206072	1.3551499016326	1.20137150280099	1.17608434041541	0.950602938561483	1.38287521344405	1.28483530783121	1.15509061329931	0.767697598394069	1.19147240957118	0.80063694754421	1.25992342811089	1.52778881169393	1.36486948357806	0.898958567883151	1.26928468392001	1.04230376245259	0.638451867095973	0.717649300556491	1.28407313585682	0.77393428839509	0.872476098981766	1.02298762548401	1.31644647272408
CHOL	1.09841607267549	1.04630908457392	0.992637554173088	1.15271423082497	0	1.11307495667549	1.23131498114044	1.11092232349899	1.18590941823584	1.15414552958364	0.729445836811908	0.92040612071458	0.889423311506813	0.779564286921254	0.719112436589362	0.872872713763616	1.31634102763581	1.33283812890922	0.4830329167369	1.12528296741798	0.934066659964104	0.864976967043504	0.757177982900477	1.09144363238334	1.13175603653999	1.30473096395929	1.15530607705788	1.0680448885868	0.851009230161983	1.11101918468633	1.16960760223882	1.1108041138794	0.513226236676944
COAD	1.11357103512083	0.886575565468544	0.971293202564746	0.774849634839425	1.11307495667549	0	1.16685684767684	0.949848732497053	1.33478675055203	1.1075955808053	1.14498493793789	1.35234279058809	1.00425736951426	1.11121338070072	1.21142037823609	1.1239365057214	0.928576322354236	1.0652254839533	1.20471797909381	1.05649376019387	0.879836287686571	1.28443838424736	0.947000550616967	0.161672232530913	1.41905494921557	0.939402119520221	0.497414326818035	1.14617941882125	1.08851383555451	1.09606056711103	0.602184258021415	1.11703849203653	1.28067477009883
DLBC	1.32606264355219	1.18793783724489	1.18440838680463	0.611933613874243	1.23131498114044	1.16685684767684	0	1.05749509120402	1.13213940103243	0.780122520044978	1.36096704933935	0.930982122143759	1.23630312491218	0.665502008662449	1.24489718778911	1.2510455829921	1.08177607833689	0.9485138943763	1.030865683673	0.934806475570054	1.18437890758997	1.31386668209377	1.33326848906835	1.21216163649066	1.04327446934354	1.07348556485711	0.971679572832903	0.674712632730746	1.14718952755249	0.358696333410254	1.15318117970257	1.05414970783925	1.27720499037157
ESCA	0.915916172711241	0.629578581341509	0.872525878102159	0.777723825599949	1.11092232349899	0.949848732497053	1.05749509120402	0	1.23022912451254	0.565958186415278	1.01002452015776	1.33578666078913	1.18588832634164	1.15852600810215	1.30569925128201	1.11354794981277	0.819153142039718	0.475319743113694	1.28469913630663	0.551386240200778	0.941578108072662	1.51348387258014	1.40210476529841	0.702458632972001	1.12723226569334	1.05901434333729	0.740915164659232	0.50165691980156	1.40534365895448	1.13073161988163	1.25591719697582	0.636630761888771	1.4055918780106
GBM	0.93970848757677	1.15058916285798	1.0534097257097	1.0898266579538	1.18590941823584	1.33478675055203	1.13213940103243	1.23022912451254	0	1.12525758255855	0.923047178893599	0.950894860786447	0.983227876320165	1.01000771074111	0.68779942676339	0.982507624189111	0.837995796066518	1.0852704112753	1.13600746990685	1.05441211133017	1.17026033288806	0.712867643451396	0.97624266279655	1.29259097522643	0.816348781476089	0.970982376850123	1.23904388611464	1.16807640837865	0.957821813450316	1.13844226495614	0.942312466552013	0.938552646992147	0.87351815296136
HNSC	1.1422931997768	0.946356914062767	0.990143111515304	0.730837109206072	1.15414552958364	1.1075955808053	0.780122520044978	0.565958186415278	1.12525758255855	0	1.20002756460362	0.979908066306621	1.31170248879393	1.14592614240414	1.23225541464078	1.21234743332449	0.881080312406162	0.360760501496952	1.1333631005281	0.807923400256445	0.759668115674806	1.42587708326736	1.34686987529367	1.07191952153611	1.04762479756654	0.967543012170955	0.898128462727152	0.838967726518944	1.26953303896432	0.938133697447307	1.26215935970638	0.946462127143455	1.3257834027126
