project_code	project_id	major_cancer_group	weighting_scenario	cluster_k6
LIHC	TCGA-LIHC	Carcinoma	mutation_down_weighted	1
LIHC	TCGA-LIHC	Carcinoma	copy_number_down_weighted	1
LIHC	TCGA-LIHC	Carcinoma	expression_down_weighted	1
LUAD	TCGA-LUAD	Carcinoma	unweighted_all_features	2
LUAD	TCGA-LUAD	Carcinoma	equal_weight_mutation_copy_number_expression	2
LUAD	TCGA-LUAD	Carcinoma	mutation_down_weighted	2
LUAD	TCGA-LUAD	Carcinoma	copy_number_down_weighted	2
LUAD	TCGA-LUAD	Carcinoma	expression_down_weighted	2
LUSC	TCGA-LUSC	Carcinoma	unweighted_all_features	2
LUSC	TCGA-LUSC	Carcinoma	equal_weight_mutation_copy_number_expression	2
LUSC	TCGA-LUSC	Carcinoma	mutation_down_weighted	2
LUSC	TCGA-LUSC	Carcinoma	copy_number_down_weighted	2
LUSC	TCGA-LUSC	Carcinoma	expression_down_weighted	2
MESO	TCGA-MESO	Mesothelial	unweighted_all_features	1
MESO	TCGA-MESO	Mesothelial	equal_weight_mutation_copy_number_expression	3
MESO	TCGA-MESO	Mesothelial	mutation_down_weighted	1
MESO	TCGA-MESO	Mesothelial	copy_number_down_weighted	1
MESO	TCGA-MESO	Mesothelial	expression_down_weighted	1
OV	TCGA-OV	Carcinoma	unweighted_all_features	2
OV	TCGA-OV	Carcinoma	equal_weight_mutation_copy_number_expression	2
OV	TCGA-OV	Carcinoma	mutation_down_weighted	2
OV	TCGA-OV	Carcinoma	copy_number_down_weighted	2
OV	TCGA-OV	Carcinoma	expression_down_weighted	1
PAAD	TCGA-PAAD	Carcinoma	unweighted_all_features	1
PAAD	TCGA-PAAD	Carcinoma	equal_weight_mutation_copy_number_expression	3
PAAD	TCGA-PAAD	Carcinoma	mutation_down_weighted	1
PAAD	TCGA-PAAD	Carcinoma	copy_number_down_weighted	4
PAAD	TCGA-PAAD	Carcinoma	expression_down_weighted	1
PCPG	TCGA-PCPG	Neuroendocrine/adrenal/paraganglioma	unweighted_all_features	1
PCPG	TCGA-PCPG	Neuroendocrine/adrenal/paraganglioma	equal_weight_mutation_copy_number_expression	3
PCPG	TCGA-PCPG	Neuroendocrine/adrenal/paraganglioma	mutation_down_weighted	1
PCPG	TCGA-PCPG	Neuroendocrine/adrenal/paraganglioma	copy_number_down_weighted	1
PCPG	TCGA-PCPG	Neuroendocrine/adrenal/paraganglioma	expression_down_weighted	1
PRAD	TCGA-PRAD	Carcinoma	unweighted_all_features	1
PRAD	TCGA-PRAD	Carcinoma	equal_weight_mutation_copy_number_expression	3
PRAD	TCGA-PRAD	Carcinoma	mutation_down_weighted	1
PRAD	TCGA-PRAD	Carcinoma	copy_number_down_weighted	1
PRAD	TCGA-PRAD	Carcinoma	expression_down_weighted	1
READ	TCGA-READ	Carcinoma	unweighted_all_features	2
READ	TCGA-READ	Carcinoma	equal_weight_mutation_copy_number_expression	2
READ	TCGA-READ	Carcinoma	mutation_down_weighted	2
READ	TCGA-READ	Carcinoma	copy_number_down_weighted	2
READ	TCGA-READ	Carcinoma	expression_down_weighted	2
SARC	TCGA-SARC	Sarcoma	unweighted_all_features	1
SARC	TCGA-SARC	Sarcoma	equal_weight_mutation_copy_number_expression	3
SARC	TCGA-SARC	Sarcoma	mutation_down_weighted	1
SARC	TCGA-SARC	Sarcoma	copy_number_down_weighted	1
SARC	TCGA-SARC	Sarcoma	expression_down_weighted	1
SKCM	TCGA-SKCM	Melanocytic	unweighted_all_features	4
SKCM	TCGA-SKCM	Melanocytic	equal_weight_mutation_copy_number_expression	2
SKCM	TCGA-SKCM	Melanocytic	mutation_down_weighted	5
SKCM	TCGA-SKCM	Melanocytic	copy_number_down_weighted	5
SKCM	TCGA-SKCM	Melanocytic	expression_down_weighted	4
STAD	TCGA-STAD	Carcinoma	unweighted_all_features	2
STAD	TCGA-STAD	Carcinoma	equal_weight_mutation_copy_number_expression	2
STAD	TCGA-STAD	Carcinoma	mutation_down_weighted	2
STAD	TCGA-STAD	Carcinoma	copy_number_down_weighted	2
STAD	TCGA-STAD	Carcinoma	expression_down_weighted	2
TGCT	TCGA-TGCT	Germ cell	unweighted_all_features	1
TGCT	TCGA-TGCT	Germ cell	equal_weight_mutation_copy_number_expression	1
