sample_barcode	patient_barcode	project_id	project_code	n_total_mutations	n_candidate_mutations_with_local_cn	n_copy_neutral_candidate_mutations	median_depth	median_observed_vaf	purity	ploidy	median_local_segment_mean	pct_mutations_neutral_like	pct_mutations_gain_like	pct_mutations_loss_like	eligible_for_limited_vaf_clustering	eligible_for_copy_number_aware_clustering	reason_not_copy_number_aware	readiness_class	notes
TCGA-EI-6507-01A	TCGA-EI-6507	TCGA-READ	READ	1431	883	838	81.0	0.24	0.56	2.05	-0.0132	95.15545914678236	4.772234273318872	0.07230657989877079	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-AG-A026-01A	TCGA-AG-A026	TCGA-READ	READ	301	192	100	164.0	0.294314381270903	0.9	3.02	0.0288	53.40136054421769	30.272108843537413	16.3265306122449	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-EI-6917-01A	TCGA-EI-6917	TCGA-READ	READ	7320	4642	4638	54.0	0.25	0.52	2.0	0.0024	99.91580129104688	0.042099354476564696	0.042099354476564696	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-QC-A7B5-01A	TCGA-QC-A7B5	TCGA-SARC	SARC	3539	1649	1382	59.0	0.3095238095238095	0.51	3.51	0.1322	83.52389328642627	8.941659337437702	7.534447376136031	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-DY-A1DG-01A	TCGA-DY-A1DG	TCGA-READ	READ	239	147	84	77.0	0.3	0.92	3.0	0.0838	58.97435897435897	20.94017094017094	20.085470085470085	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-FF-8042-01A	TCGA-FF-8042	TCGA-DLBC	DLBC	348	224	120	99.0	0.3625	0.82	2.34	-0.0835	53.153153153153156	34.53453453453454	12.312312312312311	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-FA-A7Q1-01A	TCGA-FA-A7Q1	TCGA-DLBC	DLBC	284	140	100	77.0	0.40483036227717073	0.88	2.17	-0.0678	66.92307692307692	27.307692307692307	5.769230769230769	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-NA-A4R1-01A	TCGA-NA-A4R1	TCGA-UCS	UCS	161	96	7	62.0	0.4210526315789473	0.97	3.64	0.2359	8.441558441558442	72.72727272727273	18.83116883116883	False	False	requires_allele_specific_cn	insufficient_neutral_mutations	copy_neutral_candidates_lt_50
TCGA-FF-8047-01A	TCGA-FF-8047	TCGA-DLBC	DLBC	172	104	91	75.5	0.42672977757253905	0.93	1.94	0.06295	87.34939759036145	4.216867469879518	8.433734939759036	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-FF-A7CX-01A	TCGA-FF-A7CX	TCGA-DLBC	DLBC	180	100	97	75.0	0.43195697748609974	0.92	1.96	0.0318	97.48427672955975	1.2578616352201257	1.2578616352201257	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-GS-A9TY-01A	TCGA-GS-A9TY	TCGA-DLBC	DLBC	238	142	55	77.5	0.4107733664185277	0.8	3.2	0.0236	37.66816143497758	42.600896860986545	19.730941704035875	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-FF-8043-01A	TCGA-FF-8043	TCGA-DLBC	DLBC	149	90	63	101.0	0.4038461538461538	0.89	1.97	0.0905	74.07407407407408	16.296296296296298	9.62962962962963	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-GS-A9TQ-01A	TCGA-GS-A9TQ	TCGA-DLBC	DLBC	273	145	45	67.0	0.1896551724137931	0.74	3.92	0.0439	34.15637860082305	34.15637860082305	31.68724279835391	False	False	requires_allele_specific_cn	insufficient_neutral_mutations	copy_neutral_candidates_lt_50
TCGA-N9-A4Q7-01A	TCGA-N9-A4Q7	TCGA-UCS	UCS	337	230	127	73.0	0.1222222222222222	0.32	3.76	0.012	55.69230769230769	22.76923076923077	21.53846153846154	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
