sample_barcode	patient_barcode	project_id	project_code	n_total_mutations	n_candidate_mutations_with_local_cn	n_copy_neutral_candidate_mutations	median_depth	median_observed_vaf	purity	ploidy	median_local_segment_mean	pct_mutations_neutral_like	pct_mutations_gain_like	pct_mutations_loss_like	eligible_for_limited_vaf_clustering	eligible_for_copy_number_aware_clustering	reason_not_copy_number_aware	readiness_class	notes
TCGA-AX-A2HA-01A	TCGA-AX-A2HA	TCGA-UCEC	UCEC	2963	1350	1174	42.0	0.3488372093023256	0.91	2.13	-0.04975	87.88623595505618	12.11376404494382	0.0	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-AD-6889-01A	TCGA-AD-6889	TCGA-COAD	COAD	2638	1561	1560	64.0	0.408839551855278	0.88	2.0	0.0051	99.92035045798487	0.07964954201513341	0.0	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-AZ-6598-01A	TCGA-AZ-6598	TCGA-COAD	COAD	3577	2185	1583	110.0	0.3614457831325301	0.86	2.28	-0.0923	72.37456242707118	24.329054842473745	3.296382730455076	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-CK-6746-01A	TCGA-CK-6746	TCGA-COAD	COAD	1836	1097	1058	54.0	0.3989795918367347	0.85	2.05	-0.0016	96.72131147540983	3.278688524590164	0.0	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-L9-A7SV-01A	TCGA-L9-A7SV	TCGA-LUAD	LUAD	2061	1261	459	62.0	0.3225806451612903	0.83	3.06	0.0928	35.49367088607595	41.11392405063291	23.39240506329114	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-AG-A02N-01A	TCGA-AG-A02N	TCGA-READ	READ	1687	990	888	113.0	0.3888888888888889	0.83	2.11	-0.0279	90.56372549019608	8.823529411764707	0.6127450980392157	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-AG-A002-01A	TCGA-AG-A002	TCGA-READ	READ	17069	10694	10691	108.0	0.3941368078175896	0.82	2.0	0.0089	99.97610228223205	0.011948858883976581	0.011948858883976581	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-78-7155-01A	TCGA-78-7155	TCGA-LUAD	LUAD	1939	1254	412	60.0	0.4705882352941176	0.82	2.5	0.027	34.76625470177324	44.43847393874261	20.795271359484147	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-05-4396-01A	TCGA-05-4396	TCGA-LUAD	LUAD	1938	1192	461	38.0	0.1081081081081081	0.82	1.86	0.0883	38.498659517426276	28.847184986595174	32.65415549597855	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-AA-3492-01A	TCGA-AA-3492	TCGA-COAD	COAD	3175	1821	1820	49.0	0.3670886075949367	0.81	2.0	0.0204	99.90240728692258	0.0	0.09759271307742355	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-A6-6653-01A	TCGA-A6-6653	TCGA-COAD	COAD	1686	958	954	53.0	0.3829787234042553	0.81	1.99	0.0219	99.12772585669782	0.37383177570093457	0.4984423676012461	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-G2-A3VY-01A	TCGA-G2-A3VY	TCGA-BLCA	BLCA	989	597	178	64.0	0.2795698924731182	0.9	3.39	0.1211	31.151003167898626	48.99683210137275	19.852164730728617	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-AY-6197-01A	TCGA-AY-6197	TCGA-COAD	COAD	1645	1013	945	156.0	0.3008130081300813	0.8	2.08	-0.0217	93.51793580868471	6.230333543108873	0.2517306482064191	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-05-4397-01A	TCGA-05-4397	TCGA-LUAD	LUAD	1061	675	467	91.0	0.3924050632911392	0.87	1.99	0.09	70.23575638506877	17.288801571709232	12.475442043222005	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-NH-A5IV-01A	TCGA-NH-A5IV	TCGA-COAD	COAD	3850	2217	2217	74.0	0.3518518518518518	0.79	2.0	0.0028	100.0	0.0	0.0	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-AA-3663-01A	TCGA-AA-3663	TCGA-COAD	COAD	2898	1859	1737	135.5	0.3151217952134747	0.79	2.1	-0.0387	93.2475884244373	6.752411575562701	0.0	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-EI-6882-01A	TCGA-EI-6882	TCGA-READ	READ	1874	1124	1069	64.0	0.3488372093023256	0.79	2.03	-0.0074	95.22203485103991	4.328274311410905	0.44969083754918493	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-78-8662-01A	TCGA-78-8662	TCGA-LUAD	LUAD	1474	895	143	74.0	0.3846153846153846	0.79	2.74	0.1377	16.38537271448664	47.18706047819972	36.427566807313646	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-GD-A2C5-01A	TCGA-GD-A2C5	TCGA-BLCA	BLCA	605	365	199	78.0	0.2028985507246377	1.0	5.25	0.0482	54.83870967741935	35.483870967741936	9.67741935483871	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-50-5946-02A	TCGA-50-5946	TCGA-LUAD	LUAD	872	546	93	72.0	0.358695652173913	0.9	2.6	0.1259	15.770609318996415	48.267622461170845	35.961768219832734	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-62-A46O-01A	TCGA-62-A46O	TCGA-LUAD	LUAD	1133	685	248	48.0	0.4054054054054054	0.82	2.93	0.0658	37.071362372567194	36.70064874884152	26.227988878591287	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-KQ-A41N-01A	TCGA-KQ-A41N	TCGA-BLCA	BLCA	3583	2385	1804	42.0	0.106060606060606	0.76	1.97	0.0416	74.72022955523673	10.215208034433285	15.064562410329986	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
TCGA-MV-A51V-01A	TCGA-MV-A51V	TCGA-BLCA	BLCA	1991	1317	455	76.0	0.1461538461538461	0.75	5.35	0.0022	33.88259526261586	33.470648815653966	32.646755921730175	True	False	requires_allele_specific_cn	ready_for_limited_vaf_clustering	limited_vaf_based_clonal_clustering;requires_allele_specific_cn_for_cn_aware
