project_code	BLCA	BRCA	CESC	CHOL	COAD	ESCA	HNSC	KICH	KIRC	KIRP	LIHC	LUAD	LUSC	OV	PAAD	PRAD	READ	STAD	THCA	UCEC
BLCA	0	1.00150647979551	0.90893563887578	1.11911867838988	0.973228364072147	0.669188202171596	1.13570084669773	1.16900006640675	1.42195151957366	1.0668159153585	1.1078168002115	0.917545220299697	0.666562937133623	0.832202046251417	1.34821641073209	1.29535265785491	0.892182423787019	0.799856238425766	1.33415309683	0.912837518833851
BRCA	1.00150647979551	0	1.03732451555976	0.984846347158568	1.18494317893092	0.917370151708867	0.993819189772822	0.882431765605256	1.02694070707616	1.14826692895137	1.16985462515884	1.12463239081906	1.07881287009122	0.918142347509584	0.769268047993397	0.847555721512583	1.07522701579433	1.05529986033893	0.977765833900165	1.21561088808332
CESC	0.90893563887578	1.03732451555976	0	1.21626301795717	0.909818775696293	0.816715995417136	0.5805527542739	1.40323419618607	1.00692247520982	1.24092474285011	1.33955270210488	1.01612721328156	0.735909251042348	0.795075050796859	1.37067611300733	1.49111641291656	1.01687543427136	0.582258495088128	1.2724037604503	1.0020750418863
CHOL	1.11911867838988	0.984846347158568	1.21626301795717	0	1.17999012925382	1.18859367215323	1.22381811430146	0.778404348944782	0.903310866894375	0.891366809563785	0.782827332067404	1.34695856441161	1.40179795913565	1.12495497771661	0.949891690357972	0.73731787858872	1.15626796428245	1.33261845613364	0.823635758892713	1.16902236719564
COAD	0.973228364072147	1.18494317893092	0.909818775696293	1.17999012925382	0	1.02386872834521	1.2795149053344	1.14743972846595	1.5120472621435	1.06417652731515	1.25013913691153	1.13461603364572	1.17419706485599	1.10055922264495	1.12929990649143	1.05779544239856	0.251385256577083	0.66910135313477	1.13727182540148	0.662247022756436
ESCA	0.669188202171596	0.917370151708867	0.816715995417136	1.18859367215323	1.02386872834521	0	0.665326409527079	1.04692354061234	1.36830049469842	1.17817908376904	1.17913240126998	0.90342891191294	0.505521918905901	0.539047059744124	1.09110528331661	1.50425164564524	0.709557196060456	0.865376639231983	1.40929266306097	1.3803209133011
HNSC	1.13570084669773	0.993819189772822	0.5805527542739	1.22381811430146	1.2795149053344	0.665326409527079	0	1.33430096180854	0.792940855490662	1.39524235854617	1.26003061038684	0.785007971147447	0.420257189117869	0.852208301242546	0.863192134472592	1.45998002494118	1.25117963834376	0.819279952620254	1.24131278672651	1.35452467982299
KICH	1.16900006640675	0.882431765605256	1.40323419618607	0.778404348944782	1.14743972846595	1.04692354061234	1.33430096180854	0	1.02884046851452	0.860392475088917	0.665108770090428	1.13217489666797	1.21792466398896	0.769819881666208	1.03660443967576	0.750542849253236	0.981016796928799	1.53450854046381	0.884730490380529	1.18908669027598
KIRC	1.42195151957366	1.02694070707616	1.00692247520982	0.903310866894375	1.5120472621435	1.36830049469842	0.792940855490662	1.02884046851452	0	0.991204254643179	0.985792661310897	0.9966758668786	1.12051382501169	1.23689743764149	0.868753168651846	0.902437811010382	1.47793561550831	1.21974576448351	0.74834990795655	1.23207442035798
KIRP	1.0668159153585	1.14826692895137	1.24092474285011	0.891366809563785	1.06417652731515	1.17817908376904	1.39524235854617	0.860392475088917	0.991204254643179	0	0.737566132157595	1.12846364174312	1.29691596157469	1.12985460338245	1.15809068626876	0.796275693902467	1.09226345656997	1.40534027434607	0.825589549413673	0.872382622688364
LIHC	1.1078168002115	1.16985462515884	1.33955270210488	0.782827332067404	1.25013913691153	1.17913240126998	1.26003061038684	0.665108770090428	0.985792661310897	0.737566132157595	0	1.05312851091381	1.22340967248298	1.04355937390617	1.11086618799404	0.692744067839783	1.24373964690655	1.39589776210843	0.851829574379011	0.96257025991552
LUAD	0.917545220299697	1.12463239081906	1.01612721328156	1.34695856441161	1.13461603364572	0.90342891191294	0.785007971147447	1.13217489666797	0.9966758668786	1.12846364174312	1.05312851091381	0	0.466108326010202	0.873708501504378	1.0517575727571	1.36572209188402	1.12651339643044	0.792764304273793	1.29253012234658	1.2208212066718
LUSC	0.666562937133623	1.07881287009122	0.735909251042348	1.40179795913565	1.17419706485599	0.505521918905901	0.420257189117869	1.21792466398896	1.12051382501169	1.29691596157469	1.22340967248298	0.466108326010202	0	0.616240373555549	1.14800234646238	1.65352330657236	1.08717115478041	0.772560692148538	1.47301109052205	1.31611374303501
OV	0.832202046251417	0.918142347509584	0.795075050796859	1.12495497771661	1.10055922264495	0.539047059744124	0.852208301242546	0.769819881666208	1.23689743764149	1.12985460338245	1.04355937390617	0.873708501504378	0.616240373555549	0	1.29926409530538	1.34840379486289	0.846845429438674	1.17842449481254	1.2741926918688	1.34398693320334
PAAD	1.34821641073209	0.769268047993397	1.37067611300733	0.949891690357972	1.12929990649143	1.09110528331661	0.863192134472592	1.03660443967576	0.868753168651846	1.15809068626876	1.11086618799404	1.0517575727571	1.14800234646238	1.29926409530538	0	0.703489148801276	0.966117342150381	1.09678702724156	0.815246613808682	1.30053987487165
PRAD	1.29535265785491	0.847555721512583	1.49111641291656	0.73731787858872	1.05779544239856	1.50425164564524	1.45998002494118	0.750542849253236	0.902437811010382	0.796275693902467	0.692744067839783	1.36572209188402	1.65352330657236	1.34840379486289	0.703489148801276	0	1.08956745130262	1.34448445824839	0.426747637010109	0.861067556617691
READ	0.892182423787019	1.07522701579433	1.01687543427136	1.15626796428245	0.251385256577083	0.709557196060456	1.25117963834376	0.981016796928799	1.47793561550831	1.09226345656997	1.24373964690655	1.12651339643044	1.08717115478041	0.846845429438674	0.966117342150381	1.08956745130262	0	0.871664080059771	1.22128565016387	1.05709793160664
STAD	0.799856238425766	1.05529986033893	0.582258495088128	1.33261845613364	0.66910135313477	0.865376639231983	0.819279952620254	1.53450854046381	1.21974576448351	1.40534027434607	1.39589776210843	0.792764304273793	0.772560692148538	1.17842449481254	1.09678702724156	1.34448445824839	0.871664080059771	0	1.36830236071352	0.711118004665265
THCA	1.33415309683	0.977765833900165	1.2724037604503	0.823635758892713	1.13727182540148	1.40929266306097	1.24131278672651	0.884730490380529	0.74834990795655	0.825589549413673	0.851829574379011	1.29253012234658	1.47301109052205	1.2741926918688	0.815246613808682	0.426747637010109	1.22128565016387	1.36830236071352	0	1.0569686463939
UCEC	0.912837518833851	1.21561088808332	1.0020750418863	1.16902236719564	0.662247022756436	1.3803209133011	1.35452467982299	1.18908669027598	1.23207442035798	0.872382622688364	0.96257025991552	1.2208212066718	1.31611374303501	1.34398693320334	1.30053987487165	0.861067556617691	1.05709793160664	0.711118004665265	1.0569686463939	0
