sample_barcode	patient_barcode	project_id	project_code	selected_gdc_file_id	selected_file_name	selected_data_type	match_level	file_size	n_candidate_files	selection_reason	selection_rank	notes
TCGA-NH-A5IV-01A	TCGA-NH-A5IV	TCGA-COAD	COAD	0a546264-9560-4d73-884e-cd4d989bbdfc	DADOS_p_TCGAb3_85_86_87_88_NSP_GenomeWideSNP_6_A02_1464720.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	4611	3	sample_level_match;Masked Copy Number Segment;local_parse_check_passed;lightweight_parse_rows=65	1	best_ranked_file_selected
TCGA-FA-A7Q1-01A	TCGA-FA-A7Q1	TCGA-DLBC	DLBC	8dbb5e6c-e2a7-4f5a-a052-11a847abb591	VOLAR_p_TCGAb_397_398_399_NSP_GenomeWideSNP_6_C03_1473450.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	17215	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-FF-8042-01A	TCGA-FF-8042	TCGA-DLBC	DLBC	c3973cb8-2731-4f53-b129-45227dd64c59	CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_F04_1039440.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	67469	4	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-FF-8043-01A	TCGA-FF-8043	TCGA-DLBC	DLBC	6d0c346d-78ac-4758-824d-80964ee167df	CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_F08_1039410.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	26905	4	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-FF-8047-01A	TCGA-FF-8047	TCGA-DLBC	DLBC	620b8aae-cfd7-440c-9275-69f1afe35b69	CENTS_p_TCGASNP_212_216_217_N_GenomeWideSNP_6_G06_1039508.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	19240	4	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-FF-A7CX-01A	TCGA-FF-A7CX	TCGA-DLBC	DLBC	c2253381-06d0-43e7-a621-7bba63c7d5cd	VOLAR_p_TCGAb_397_398_399_NSP_GenomeWideSNP_6_B09_1473338.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	28039	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-GS-A9TQ-01A	TCGA-GS-A9TQ	TCGA-DLBC	DLBC	95ab97aa-b72e-431e-969d-ae04bb8f8f0b	VOLAR_p_TCGAb_397_398_399_NSP_GenomeWideSNP_6_C01_1473328.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	36123	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-GS-A9TT-01A	TCGA-GS-A9TT	TCGA-DLBC	DLBC	0d3fd270-e726-48ce-a474-8a6fc9295c54	VOLAR_p_TCGAb_397_398_399_NSP_GenomeWideSNP_6_C07_1473454.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	113380	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-GS-A9TY-01A	TCGA-GS-A9TY	TCGA-DLBC	DLBC	e6a0a0e7-0db4-4602-af39-033f432b55a4	NIZAM_p_TCGAb_406_07_08_09_10_N_GenomeWideSNP_6_C07_1486516.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	68324	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-BA-4076-01A	TCGA-BA-4076	TCGA-HNSC	HNSC	13b99e7e-7bf6-4513-969c-e68702a18574	BALMS_p_TCGAb54and67_SNP_N_GenomeWideSNP_6_D06_730414.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	27618	5	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
