sample_barcode	patient_barcode	project_id	project_code	selected_gdc_file_id	selected_file_name	selected_data_type	match_level	file_size	n_candidate_files	selection_reason	selection_rank	notes
TCGA-DX-A6YV-01A	TCGA-DX-A6YV	TCGA-SARC	SARC	61887a93-d6ff-4fd0-9fee-25db0f5c735a	TAZZA_p_TCGAb3_62_63_64_65_NSP_GenomeWideSNP_6_B03_1387792.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	40958	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-QC-A7B5-01A	TCGA-QC-A7B5	TCGA-SARC	SARC	eeeb807d-d8c0-4a89-a1d0-0a182fe9fde9	SODDY_p_TCGAb3_39_40_41_42_NSP_GenomeWideSNP_6_H03_1374080.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	7015	3	sample_level_match;Masked Copy Number Segment;local_parse_check_passed;lightweight_parse_rows=100	1	best_ranked_file_selected
TCGA-QQ-A8VF-01A	TCGA-QQ-A8VF	TCGA-SARC	SARC	96efa018-6b06-46a8-86a1-9487f5bc234a	VISTA_p_TCGAb_383_384_NSP_GenomeWideSNP_6_A02_1465012.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	25563	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-X6-A7WA-01A	TCGA-X6-A7WA	TCGA-SARC	SARC	14d23afc-a37d-444d-b8c6-e39e92f6002d	TAZZA_p_TCGAb3_62_63_64_65_NSP_GenomeWideSNP_6_D01_1387976.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	11672	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-X6-A7WB-01A	TCGA-X6-A7WB	TCGA-SARC	SARC	27dd6cf9-7e5f-4489-881f-4c00e10669b0	TAZZA_p_TCGAb3_62_63_64_65_NSP_GenomeWideSNP_6_C12_1387836.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	28074	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-D9-A6EC-06A	TCGA-D9-A6EC	TCGA-SKCM	SKCM	19922ce7-96db-46ce-aa73-d038e40900b5	SPICS_p_TCGA_B_314_315_316_NSP_GenomeWideSNP_6_D12_1361478.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	38482	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-EE-A17Z-06A	TCGA-EE-A17Z	TCGA-SKCM	SKCM	11fbd936-d961-4123-a21a-383b8c600ef0	LIGER_p_TCGA_166_180_SNP_N_GenomeWideSNP_6_H05_896506.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	33560	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-EE-A29L-06A	TCGA-EE-A29L	TCGA-SKCM	SKCM	fcd3af9b-693a-4b74-8823-1b863ea699ac	RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_G05_895744.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	47508	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-EE-A2GR-06A	TCGA-EE-A2GR	TCGA-SKCM	SKCM	a5473333-d72d-4c1b-9fd4-206086d561b6	CANST_p_TCGA_180_SNP_3N_GenomeWideSNP_6_D04_895536.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	14647	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-EE-A3AD-06A	TCGA-EE-A3AD	TCGA-SKCM	SKCM	57571587-0bc6-48d7-b1c2-de17d6d0b564	AVANT_p_TCGA_180_SNP_4N_GenomeWideSNP_6_H06_895430.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	13473	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-FS-A1ZG-06A	TCGA-FS-A1ZG	TCGA-SKCM	SKCM	60d8d5ab-d4c9-404b-91e5-be8771db37a3	ALANG_p_TCGA_180_SNP_1N_GenomeWideSNP_6_F01_895916.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	25980	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-FS-A1ZZ-06A	TCGA-FS-A1ZZ	TCGA-SKCM	SKCM	3b0c7edf-12e0-4f4f-8090-7c3e37f88d13	RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_G11_895794.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	7874	2	sample_level_match;Masked Copy Number Segment;local_parse_check_passed;lightweight_parse_rows=112	1	best_ranked_file_selected
TCGA-GN-A262-06A	TCGA-GN-A262	TCGA-SKCM	SKCM	ae5da68b-e9cc-485f-ae44-3afa2d4b373a	RETCH_p_TCGA_180_SNP_2N_GenomeWideSNP_6_H10_895866.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	23281	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-AP-A054-01A	TCGA-AP-A054	TCGA-UCEC	UCEC	86d2323f-7630-4809-80cb-b8d4cb84ec3a	MODEM_p_TCGAb59_SNP_N_GenomeWideSNP_6_G07_680522.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	18014	5	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-AX-A0J0-01A	TCGA-AX-A0J0	TCGA-UCEC	UCEC	716d2812-aced-4b45-9853-44e42ab178e8	SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_C10_730932.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	15172	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-AX-A2HA-01A	TCGA-AX-A2HA	TCGA-UCEC	UCEC	f6644538-ec22-4f31-9950-0c945a2c6674	CUTES_p_TCGA_172_176_178_SNP_N_GenomeWideSNP_6_B08_863534.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	6805	3	sample_level_match;Masked Copy Number Segment;local_parse_check_passed;lightweight_parse_rows=97	1	best_ranked_file_selected
TCGA-AX-A2HC-01A	TCGA-AX-A2HC	TCGA-UCEC	UCEC	128bb842-8cee-472e-a51d-fb90b4c8ec52	TATTY_p_TCGA_b52_156_SNP_N_GenomeWideSNP_6_G01_809068.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	29793	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-D1-A103-01A	TCGA-D1-A103	TCGA-UCEC	UCEC	92d282d0-0b78-49f2-80d1-59eefbf94d7c	DEBUT_p_TCGAb45_81_wRedosSNP_N_GenomeWideSNP_6_B11_729462.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	3312	3	sample_level_match;Masked Copy Number Segment;local_parse_check_passed;lightweight_parse_rows=47	1	best_ranked_file_selected
TCGA-D1-A167-01A	TCGA-D1-A167	TCGA-UCEC	UCEC	8416d65f-fead-4849-81ca-f71957ad8011	SCAUR_p_TCGA_b94_SNP_N_GenomeWideSNP_6_A04_755318.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	9673	2	sample_level_match;Masked Copy Number Segment;local_parse_check_passed;lightweight_parse_rows=139	1	best_ranked_file_selected
TCGA-D1-A177-01A	TCGA-D1-A177	TCGA-UCEC	UCEC	a3c97de4-3e6a-4a55-972c-f9fd983660f6	SCAUR_p_TCGA_b94_SNP_N_GenomeWideSNP_6_C01_755280.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	27528	4	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-EY-A1GI-01A	TCGA-EY-A1GI	TCGA-UCEC	UCEC	c8b2b9a9-48f7-49f0-a7d4-b043b36998aa	HORNS_p_TCGA_b110_113_SNP_N_GenomeWideSNP_6_E07_772352.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	8551	3	sample_level_match;Masked Copy Number Segment;local_parse_check_passed;lightweight_parse_rows=122	1	best_ranked_file_selected
TCGA-N7-A4Y0-01A	TCGA-N7-A4Y0	TCGA-UCS	UCS	4db58352-2c03-4cad-96c3-bbfe7ea1b588	LEGIT_p_TCGA_300_301_302_N_GenomeWideSNP_6_G10_1344324.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	24948	2	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-N9-A4Q7-01A	TCGA-N9-A4Q7	TCGA-UCS	UCS	cb3a5b35-b66a-4286-8347-6897c1f42032	DLP_REDO_FROM_TEENY_E08.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	11089	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-NA-A4R1-01A	TCGA-NA-A4R1	TCGA-UCS	UCS	0bd2274e-7675-43c1-a022-0f76ea12ef5b	TEENY_p_TCGA_302_303_N_GenomeWideSNP_6_E09_1344672.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	51220	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
TCGA-ND-A4WC-01A	TCGA-ND-A4WC	TCGA-UCS	UCS	9a2524af-e7b3-438e-996d-22ed71085056	TEENY_p_TCGA_302_303_N_GenomeWideSNP_6_G07_1344644.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	sample	10817	3	sample_level_match;Masked Copy Number Segment;format_inferred_from_metadata_no_local_parse	1	best_ranked_file_selected
