project_code	ACC	BLCA	BRCA	CESC	CHOL	COAD	DLBC	ESCA	GBM	HNSC	KICH	KIRC	KIRP	LAML	LGG	LIHC	LUAD	LUSC	MESO	OV	PAAD	PCPG	PRAD	READ	SARC	SKCM	STAD	TGCT	THCA	THYM	UCEC	UCS	UVM
ACC	0	0.232847262947593	0.147267338320988	0.220647163890874	0.191921044643425	0.280142162106486	0.304580509509612	0.176561512310212	0.165218798214209	0.198443612838468	0.125907918443583	0.224039512909295	0.150188230073133	0.210578825887994	0.179014377325512	0.131265591756006	0.188021800123498	0.216609306829212	0.162575335625322	0.153389255222203	0.209866757598617	0.145193184006524	0.165862437993042	0.226681308568997	0.158820264749057	0.313302603199087	0.226394607066884	0.168917869457678	0.181996238070168	0.241578029779218	0.452466832937169	0.190592676911884	0.155293321590347
BLCA	0.232847262947593	0	0.185733194688459	0.172636960530453	0.247939192920799	0.184354225835009	0.330732775360182	0.141021559443805	0.248981189601023	0.186643401029388	0.272130514319031	0.339150206448884	0.248090515094642	0.319641177182514	0.309962366923718	0.225349703148574	0.153689619774513	0.141268906998192	0.267573947259024	0.167262394217106	0.282248465812064	0.301293070954026	0.275174510808478	0.161473319585827	0.248765181429204	0.257203733129877	0.116174201200016	0.271066926796183	0.31717274476643	0.323257210397093	0.339545774483472	0.203597023448716	0.319651086947274
BRCA	0.147267338320988	0.185733194688459	0	0.133657209232552	0.141331881589042	0.209195897294188	0.252213045309182	0.139927953445731	0.128044744513795	0.115703681353346	0.134135453222602	0.185539757521459	0.138915246059076	0.186667385105343	0.165717350534939	0.111027899061512	0.165581233748945	0.174780117233272	0.120504353279169	0.106020291572263	0.153111856130841	0.14879102901114	0.121857474168185	0.180772253917323	0.109735858684925	0.291248607035038	0.148602302133469	0.176593933494098	0.156609859422902	0.190836794034342	0.391680588214063	0.173204050137841	0.164804534824012
CESC	0.220647163890874	0.172636960530453	0.133657209232552	0	0.200218874988518	0.19126581250808	0.20412064842831	0.140633254139387	0.185461756906272	0.127822280137794	0.226048778574373	0.243371134018412	0.17699409183658	0.219968647057915	0.246522458305351	0.15810183456676	0.186862744547426	0.15527435033354	0.192115394912225	0.137957971471372	0.235849093479302	0.224163070341149	0.197413218643336	0.178527003859548	0.200760589607347	0.282808563679554	0.129369377700594	0.194661452545485	0.235222037751669	0.211204130980695	0.361590114482233	0.210638200518755	0.23362526854457
CHOL	0.191921044643425	0.247939192920799	0.141331881589042	0.200218874988518	0	0.280319064226463	0.286471040374582	0.193707639434019	0.179688583419282	0.199784042884997	0.147840564611704	0.196669037322393	0.151552263648338	0.170287675347516	0.165253137196214	0.135232825379189	0.241202959181814	0.26488827090622	0.113232062445895	0.179445667722384	0.180069519508922	0.146177464818758	0.137875234099293	0.245934392050893	0.179215914564075	0.341017809705473	0.216445300210231	0.209663356503679	0.160250095923834	0.218414792349506	0.420935697704643	0.229597721784412	0.12497821232353
COAD	0.280142162106486	0.184354225835009	0.209195897294188	0.19126581250808	0.280319064226463	0	0.34685736154663	0.190851038796832	0.286550865871831	0.214553552072992	0.310880427487044	0.368866860416973	0.270789539204469	0.322510134498711	0.321166808456348	0.255966963070385	0.205263955626665	0.217202770804516	0.286876333272001	0.220805378233231	0.279288183205021	0.331048685396057	0.302049878953843	0.0875260437386375	0.290856839259137	0.27228553667929	0.128326707837479	0.321687447026286	0.335618549800498	0.339506440550728	0.316909961199838	0.244275577655854	0.347572878613795
DLBC	0.304580509509612	0.330732775360182	0.252213045309182	0.20412064842831	0.286471040374582	0.34685736154663	0	0.266978030637985	0.26203733723029	0.241490149189109	0.288214253919145	0.267474031201417	0.258801097336231	0.222796203787447	0.293687003892379	0.257069778679279	0.3136949727375	0.298690703404017	0.2582758162732	0.241998019404911	0.321483254211277	0.242809938019277	0.249257202287095	0.329291431890387	0.262745029662759	0.405439834355001	0.281106916019665	0.208561015380828	0.272291437975638	0.168225843067057	0.510658361245406	0.300445857665398	0.261993139805649
ESCA	0.176561512310212	0.141021559443805	0.139927953445731	0.140633254139387	0.193707639434019	0.190851038796832	0.266978030637985	0	0.202667156084025	0.114603182562895	0.195194102166625	0.268536325046706	0.196459078024044	0.237740945877438	0.242699467431809	0.16736366455573	0.151199209842242	0.114483950506476	0.210646145129764	0.111964243571596	0.203471031288818	0.236420731561411	0.204217423699316	0.134348816314863	0.194780489646312	0.288553488819243	0.133220553233325	0.174103062347688	0.245991930941849	0.242416237568621	0.411921423056219	0.155787628966958	0.249835666449509
GBM	0.165218798214209	0.248981189601023	0.128044744513795	0.185461756906272	0.179688583419282	0.286550865871831	0.26203733723029	0.202667156084025	0	0.180041176179987	0.164829082069717	0.19131548652836	0.152108687907306	0.184250345224038	0.142699004534737	0.127512387214601	0.192685243733062	0.220352098727206	0.155734636868713	0.158095727019225	0.189448801665209	0.133430815617911	0.15283313943212	0.252126563457229	0.121307447930945	0.292808887634981	0.212205476156638	0.225713483295132	0.171694866355039	0.21936191468934	0.388284960215318	0.196603797260058	0.156594269046136
HNSC	0.198443612838468	0.186643401029388	0.115703681353346	0.127822280137794	0.199784042884997	0.214553552072992	0.241490149189109	0.114603182562895	0.180041176179987	0	0.205282078688263	0.216396174027008	0.191004029525145	0.210895352192889	0.219228407402397	0.157841252802823	0.165029400498434	0.114726014344081	0.180539900881045	0.119784198693374	0.163415773050806	0.214461862836508	0.193220803637536	0.177670980751817	0.168245974365688	0.280319376990109	0.132456594862286	0.196873545408723	0.227281243382431	0.205790650696028	0.424663065599729	0.190167380156677	0.223563162394371
