project_code	project_id	major_cancer_group	feature_class_subset	n_features_used	cluster_k6
KIRC	TCGA-KIRC	Carcinoma	mutation_only	33	1
KIRC	TCGA-KIRC	Carcinoma	copy_number_aneuploidy_only	6	5
KIRC	TCGA-KIRC	Carcinoma	expression_only	13	3
KIRC	TCGA-KIRC	Carcinoma	mutation_plus_copy_number	39	1
KIRC	TCGA-KIRC	Carcinoma	mutation_plus_expression	46	1
KIRC	TCGA-KIRC	Carcinoma	copy_number_plus_expression	19	4
KIRP	TCGA-KIRP	Carcinoma	all_features	52	1
KIRP	TCGA-KIRP	Carcinoma	mutation_only	33	1
KIRP	TCGA-KIRP	Carcinoma	copy_number_aneuploidy_only	6	3
KIRP	TCGA-KIRP	Carcinoma	expression_only	13	1
KIRP	TCGA-KIRP	Carcinoma	mutation_plus_copy_number	39	1
KIRP	TCGA-KIRP	Carcinoma	mutation_plus_expression	46	1
KIRP	TCGA-KIRP	Carcinoma	copy_number_plus_expression	19	2
LAML	TCGA-LAML	Hematolymphoid	all_features	52	1
LAML	TCGA-LAML	Hematolymphoid	mutation_only	33	1
LAML	TCGA-LAML	Hematolymphoid	copy_number_aneuploidy_only	6	5
LAML	TCGA-LAML	Hematolymphoid	expression_only	13	4
LAML	TCGA-LAML	Hematolymphoid	mutation_plus_copy_number	39	1
LAML	TCGA-LAML	Hematolymphoid	mutation_plus_expression	46	1
LAML	TCGA-LAML	Hematolymphoid	copy_number_plus_expression	19	5
LGG	TCGA-LGG	CNS/glial	all_features	52	1
LGG	TCGA-LGG	CNS/glial	mutation_only	33	1
LGG	TCGA-LGG	CNS/glial	copy_number_aneuploidy_only	6	5
LGG	TCGA-LGG	CNS/glial	expression_only	13	1
LGG	TCGA-LGG	CNS/glial	mutation_plus_copy_number	39	1
LGG	TCGA-LGG	CNS/glial	mutation_plus_expression	46	1
LGG	TCGA-LGG	CNS/glial	copy_number_plus_expression	19	2
LIHC	TCGA-LIHC	Carcinoma	all_features	52	1
LIHC	TCGA-LIHC	Carcinoma	mutation_only	33	1
LIHC	TCGA-LIHC	Carcinoma	copy_number_aneuploidy_only	6	3
LIHC	TCGA-LIHC	Carcinoma	expression_only	13	1
LIHC	TCGA-LIHC	Carcinoma	mutation_plus_copy_number	39	1
LIHC	TCGA-LIHC	Carcinoma	mutation_plus_expression	46	1
LIHC	TCGA-LIHC	Carcinoma	copy_number_plus_expression	19	2
LUAD	TCGA-LUAD	Carcinoma	all_features	52	2
LUAD	TCGA-LUAD	Carcinoma	mutation_only	33	2
LUAD	TCGA-LUAD	Carcinoma	copy_number_aneuploidy_only	6	2
LUAD	TCGA-LUAD	Carcinoma	expression_only	13	1
LUAD	TCGA-LUAD	Carcinoma	mutation_plus_copy_number	39	2
LUAD	TCGA-LUAD	Carcinoma	mutation_plus_expression	46	2
LUAD	TCGA-LUAD	Carcinoma	copy_number_plus_expression	19	1
LUSC	TCGA-LUSC	Carcinoma	all_features	52	2
LUSC	TCGA-LUSC	Carcinoma	mutation_only	33	2
LUSC	TCGA-LUSC	Carcinoma	copy_number_aneuploidy_only	6	2
LUSC	TCGA-LUSC	Carcinoma	expression_only	13	1
LUSC	TCGA-LUSC	Carcinoma	mutation_plus_copy_number	39	2
LUSC	TCGA-LUSC	Carcinoma	mutation_plus_expression	46	2
LUSC	TCGA-LUSC	Carcinoma	copy_number_plus_expression	19	1
MESO	TCGA-MESO	Mesothelial	all_features	52	1
MESO	TCGA-MESO	Mesothelial	mutation_only	33	1
MESO	TCGA-MESO	Mesothelial	copy_number_aneuploidy_only	6	5
MESO	TCGA-MESO	Mesothelial	expression_only	13	1
MESO	TCGA-MESO	Mesothelial	mutation_plus_copy_number	39	1
MESO	TCGA-MESO	Mesothelial	mutation_plus_expression	46	1
MESO	TCGA-MESO	Mesothelial	copy_number_plus_expression	19	2
OV	TCGA-OV	Carcinoma	all_features	52	2
OV	TCGA-OV	Carcinoma	mutation_only	33	1
OV	TCGA-OV	Carcinoma	copy_number_aneuploidy_only	6	2
OV	TCGA-OV	Carcinoma	expression_only	13	1
OV	TCGA-OV	Carcinoma	mutation_plus_copy_number	39	1
OV	TCGA-OV	Carcinoma	mutation_plus_expression	46	2
OV	TCGA-OV	Carcinoma	copy_number_plus_expression	19	1
PAAD	TCGA-PAAD	Carcinoma	all_features	52	1
PAAD	TCGA-PAAD	Carcinoma	mutation_only	33	4
PAAD	TCGA-PAAD	Carcinoma	copy_number_aneuploidy_only	6	3
PAAD	TCGA-PAAD	Carcinoma	expression_only	13	1
PAAD	TCGA-PAAD	Carcinoma	mutation_plus_copy_number	39	1
PAAD	TCGA-PAAD	Carcinoma	mutation_plus_expression	46	1
PAAD	TCGA-PAAD	Carcinoma	copy_number_plus_expression	19	2
PCPG	TCGA-PCPG	Neuroendocrine/adrenal/paraganglioma	all_features	52	1
PCPG	TCGA-PCPG	Neuroendocrine/adrenal/paraganglioma	mutation_only	33	1
PCPG	TCGA-PCPG	Neuroendocrine/adrenal/paraganglioma	copy_number_aneuploidy_only	6	5
PCPG	TCGA-PCPG	Neuroendocrine/adrenal/paraganglioma	expression_only	13	1
PCPG	TCGA-PCPG	Neuroendocrine/adrenal/paraganglioma	mutation_plus_copy_number	39	1
PCPG	TCGA-PCPG	Neuroendocrine/adrenal/paraganglioma	mutation_plus_expression	46	1
PCPG	TCGA-PCPG	Neuroendocrine/adrenal/paraganglioma	copy_number_plus_expression	19	2
PRAD	TCGA-PRAD	Carcinoma	all_features	52	1
PRAD	TCGA-PRAD	Carcinoma	mutation_only	33	1
PRAD	TCGA-PRAD	Carcinoma	copy_number_aneuploidy_only	6	5
PRAD	TCGA-PRAD	Carcinoma	expression_only	13	1
PRAD	TCGA-PRAD	Carcinoma	mutation_plus_copy_number	39	1
PRAD	TCGA-PRAD	Carcinoma	mutation_plus_expression	46	1
PRAD	TCGA-PRAD	Carcinoma	copy_number_plus_expression	19	2
READ	TCGA-READ	Carcinoma	all_features	52	2
READ	TCGA-READ	Carcinoma	mutation_only	33	3
READ	TCGA-READ	Carcinoma	copy_number_aneuploidy_only	6	2
READ	TCGA-READ	Carcinoma	expression_only	13	1
READ	TCGA-READ	Carcinoma	mutation_plus_copy_number	39	3
READ	TCGA-READ	Carcinoma	mutation_plus_expression	46	3
READ	TCGA-READ	Carcinoma	copy_number_plus_expression	19	1
SARC	TCGA-SARC	Sarcoma	all_features	52	1
SARC	TCGA-SARC	Sarcoma	mutation_only	33	1
SARC	TCGA-SARC	Sarcoma	copy_number_aneuploidy_only	6	3
SARC	TCGA-SARC	Sarcoma	expression_only	13	5
SARC	TCGA-SARC	Sarcoma	mutation_plus_copy_number	39	1
SARC	TCGA-SARC	Sarcoma	mutation_plus_expression	46	1
SARC	TCGA-SARC	Sarcoma	copy_number_plus_expression	19	2
SKCM	TCGA-SKCM	Melanocytic	all_features	52	4
SKCM	TCGA-SKCM	Melanocytic	mutation_only	33	5
SKCM	TCGA-SKCM	Melanocytic	copy_number_aneuploidy_only	6	3
SKCM	TCGA-SKCM	Melanocytic	expression_only	13	1
SKCM	TCGA-SKCM	Melanocytic	mutation_plus_copy_number	39	4
SKCM	TCGA-SKCM	Melanocytic	mutation_plus_expression	46	5
SKCM	TCGA-SKCM	Melanocytic	copy_number_plus_expression	19	2
STAD	TCGA-STAD	Carcinoma	all_features	52	2
STAD	TCGA-STAD	Carcinoma	mutation_only	33	2
STAD	TCGA-STAD	Carcinoma	copy_number_aneuploidy_only	6	3
STAD	TCGA-STAD	Carcinoma	expression_only	13	1
STAD	TCGA-STAD	Carcinoma	mutation_plus_copy_number	39	2
STAD	TCGA-STAD	Carcinoma	mutation_plus_expression	46	2
STAD	TCGA-STAD	Carcinoma	copy_number_plus_expression	19	1
TGCT	TCGA-TGCT	Germ cell	all_features	52	1
TGCT	TCGA-TGCT	Germ cell	mutation_only	33	1
TGCT	TCGA-TGCT	Germ cell	copy_number_aneuploidy_only	6	6
TGCT	TCGA-TGCT	Germ cell	expression_only	13	1
TGCT	TCGA-TGCT	Germ cell	mutation_plus_copy_number	39	1
TGCT	TCGA-TGCT	Germ cell	mutation_plus_expression	46	1
TGCT	TCGA-TGCT	Germ cell	copy_number_plus_expression	19	6
THCA	TCGA-THCA	Carcinoma	all_features	52	1
THCA	TCGA-THCA	Carcinoma	mutation_only	33	1
THCA	TCGA-THCA	Carcinoma	copy_number_aneuploidy_only	6	5
THCA	TCGA-THCA	Carcinoma	expression_only	13	1
THCA	TCGA-THCA	Carcinoma	mutation_plus_copy_number	39	1
THCA	TCGA-THCA	Carcinoma	mutation_plus_expression	46	1
THCA	TCGA-THCA	Carcinoma	copy_number_plus_expression	19	2
THYM	TCGA-THYM	Other or mixed	all_features	52	1
THYM	TCGA-THYM	Other or mixed	mutation_only	33	1
THYM	TCGA-THYM	Other or mixed	copy_number_aneuploidy_only	6	5
THYM	TCGA-THYM	Other or mixed	expression_only	13	6
THYM	TCGA-THYM	Other or mixed	mutation_plus_copy_number	39	1
THYM	TCGA-THYM	Other or mixed	mutation_plus_expression	46	1
THYM	TCGA-THYM	Other or mixed	copy_number_plus_expression	19	5
UCEC	TCGA-UCEC	Carcinoma	all_features	52	5
UCEC	TCGA-UCEC	Carcinoma	mutation_only	33	6
UCEC	TCGA-UCEC	Carcinoma	copy_number_aneuploidy_only	6	5
UCEC	TCGA-UCEC	Carcinoma	expression_only	13	1
UCEC	TCGA-UCEC	Carcinoma	mutation_plus_copy_number	39	5
UCEC	TCGA-UCEC	Carcinoma	mutation_plus_expression	46	6
UCEC	TCGA-UCEC	Carcinoma	copy_number_plus_expression	19	2
UCS	TCGA-UCS	Other or mixed	all_features	52	6
UCS	TCGA-UCS	Other or mixed	mutation_only	33	1
UCS	TCGA-UCS	Other or mixed	copy_number_aneuploidy_only	6	1
UCS	TCGA-UCS	Other or mixed	expression_only	13	1
UCS	TCGA-UCS	Other or mixed	mutation_plus_copy_number	39	6
UCS	TCGA-UCS	Other or mixed	mutation_plus_expression	46	2
UCS	TCGA-UCS	Other or mixed	copy_number_plus_expression	19	1
UVM	TCGA-UVM	Melanocytic	all_features	52	1
UVM	TCGA-UVM	Melanocytic	mutation_only	33	1
UVM	TCGA-UVM	Melanocytic	copy_number_aneuploidy_only	6	5
UVM	TCGA-UVM	Melanocytic	expression_only	13	1
UVM	TCGA-UVM	Melanocytic	mutation_plus_copy_number	39	1
UVM	TCGA-UVM	Melanocytic	mutation_plus_expression	46	1
UVM	TCGA-UVM	Melanocytic	copy_number_plus_expression	19	2
