qc_section	project_id	project_code	metric	value
per_project	TCGA-LUSC	LUSC	sample_count	485
per_project	TCGA-LUSC	LUSC	nonsynonymous_mutation_count_min	1
per_project	TCGA-LUSC	LUSC	nonsynonymous_mutation_count_median	232
per_project	TCGA-LUSC	LUSC	nonsynonymous_mutation_count_mean	291.2619
per_project	TCGA-LUSC	LUSC	nonsynonymous_mutation_count_max	2501
per_project	TCGA-MESO	MESO	sample_count	82
per_project	TCGA-MESO	MESO	nonsynonymous_mutation_count_min	1
per_project	TCGA-MESO	MESO	nonsynonymous_mutation_count_median	27.5
per_project	TCGA-MESO	MESO	nonsynonymous_mutation_count_mean	30.2927
per_project	TCGA-MESO	MESO	nonsynonymous_mutation_count_max	258
per_project	TCGA-OV	OV	sample_count	412
per_project	TCGA-OV	OV	nonsynonymous_mutation_count_min	2
per_project	TCGA-OV	OV	nonsynonymous_mutation_count_median	68
per_project	TCGA-OV	OV	nonsynonymous_mutation_count_mean	87.5243
per_project	TCGA-OV	OV	nonsynonymous_mutation_count_max	1853
per_project	TCGA-PAAD	PAAD	sample_count	178
per_project	TCGA-PAAD	PAAD	nonsynonymous_mutation_count_min	0
per_project	TCGA-PAAD	PAAD	nonsynonymous_mutation_count_median	35
per_project	TCGA-PAAD	PAAD	nonsynonymous_mutation_count_mean	116.4157
per_project	TCGA-PAAD	PAAD	nonsynonymous_mutation_count_max	14176
per_project	TCGA-PCPG	PCPG	sample_count	184
per_project	TCGA-PCPG	PCPG	nonsynonymous_mutation_count_min	0
per_project	TCGA-PCPG	PCPG	nonsynonymous_mutation_count_median	9
per_project	TCGA-PCPG	PCPG	nonsynonymous_mutation_count_mean	10.1141
per_project	TCGA-PCPG	PCPG	nonsynonymous_mutation_count_max	35
per_project	TCGA-PRAD	PRAD	sample_count	498
per_project	TCGA-PRAD	PRAD	nonsynonymous_mutation_count_min	0
per_project	TCGA-PRAD	PRAD	nonsynonymous_mutation_count_median	27
per_project	TCGA-PRAD	PRAD	nonsynonymous_mutation_count_mean	46.1526
per_project	TCGA-PRAD	PRAD	nonsynonymous_mutation_count_max	6168
per_project	TCGA-READ	READ	sample_count	151
per_project	TCGA-READ	READ	nonsynonymous_mutation_count_min	9
per_project	TCGA-READ	READ	nonsynonymous_mutation_count_median	91
per_project	TCGA-READ	READ	nonsynonymous_mutation_count_mean	301.3113
per_project	TCGA-READ	READ	nonsynonymous_mutation_count_max	11361
per_project	TCGA-SARC	SARC	sample_count	239
per_project	TCGA-SARC	SARC	nonsynonymous_mutation_count_min	2
per_project	TCGA-SARC	SARC	nonsynonymous_mutation_count_median	41
per_project	TCGA-SARC	SARC	nonsynonymous_mutation_count_mean	73.6318
per_project	TCGA-SARC	SARC	nonsynonymous_mutation_count_max	1736
per_project	TCGA-SKCM	SKCM	sample_count	468
per_project	TCGA-SKCM	SKCM	nonsynonymous_mutation_count_min	6
per_project	TCGA-SKCM	SKCM	nonsynonymous_mutation_count_median	413
per_project	TCGA-SKCM	SKCM	nonsynonymous_mutation_count_mean	738.9338
per_project	TCGA-SKCM	SKCM	nonsynonymous_mutation_count_max	31097
per_project	TCGA-STAD	STAD	sample_count	439
per_project	TCGA-STAD	STAD	nonsynonymous_mutation_count_min	0
per_project	TCGA-STAD	STAD	nonsynonymous_mutation_count_median	115
per_project	TCGA-STAD	STAD	nonsynonymous_mutation_count_mean	377.6948
per_project	TCGA-STAD	STAD	nonsynonymous_mutation_count_max	9779
per_project	TCGA-TGCT	TGCT	sample_count	151
per_project	TCGA-TGCT	TGCT	nonsynonymous_mutation_count_min	0
per_project	TCGA-TGCT	TGCT	nonsynonymous_mutation_count_median	13
per_project	TCGA-TGCT	TGCT	nonsynonymous_mutation_count_mean	15.1854
per_project	TCGA-TGCT	TGCT	nonsynonymous_mutation_count_max	57
per_project	TCGA-THCA	THCA	sample_count	500
per_project	TCGA-THCA	THCA	nonsynonymous_mutation_count_min	0
per_project	TCGA-THCA	THCA	nonsynonymous_mutation_count_median	10
per_project	TCGA-THCA	THCA	nonsynonymous_mutation_count_mean	16.05
per_project	TCGA-THCA	THCA	nonsynonymous_mutation_count_max	461
per_project	TCGA-THYM	THYM	sample_count	123
per_project	TCGA-THYM	THYM	nonsynonymous_mutation_count_min	1
per_project	TCGA-THYM	THYM	nonsynonymous_mutation_count_median	14
per_project	TCGA-THYM	THYM	nonsynonymous_mutation_count_mean	22.187
per_project	TCGA-THYM	THYM	nonsynonymous_mutation_count_max	622
per_project	TCGA-UCEC	UCEC	sample_count	531
per_project	TCGA-UCEC	UCEC	nonsynonymous_mutation_count_min	7
per_project	TCGA-UCEC	UCEC	nonsynonymous_mutation_count_median	76
per_project	TCGA-UCEC	UCEC	nonsynonymous_mutation_count_mean	1037.5838
per_project	TCGA-UCEC	UCEC	nonsynonymous_mutation_count_max	25514
per_project	TCGA-UCS	UCS	sample_count	57
per_project	TCGA-UCS	UCS	nonsynonymous_mutation_count_min	26
per_project	TCGA-UCS	UCS	nonsynonymous_mutation_count_median	47
per_project	TCGA-UCS	UCS	nonsynonymous_mutation_count_mean	127.193
per_project	TCGA-UCS	UCS	nonsynonymous_mutation_count_max	3647
per_project	TCGA-UVM	UVM	sample_count	80
per_project	TCGA-UVM	UVM	nonsynonymous_mutation_count_min	4
per_project	TCGA-UVM	UVM	nonsynonymous_mutation_count_median	12
per_project	TCGA-UVM	UVM	nonsynonymous_mutation_count_mean	16.7125
per_project	TCGA-UVM	UVM	nonsynonymous_mutation_count_max	388
