project_id	project_code	cancer_name	broad_group	major_cancer_group	level2_group	lineage_notes	tmb_proxy_median_nonsynonymous_count	tmb_proxy_mean_nonsynonymous_count	tmb_proxy_median_total_mutation_count	tmb_proxy_mean_total_mutation_count	mutation_prevalence_TP53	mutation_prevalence_KRAS	mutation_prevalence_BRAF	mutation_prevalence_IDH1	mutation_prevalence_IDH2	mutation_prevalence_PIK3CA	mutation_prevalence_APC	mutation_prevalence_PTEN	mutation_prevalence_NF1	mutation_prevalence_BAP1	mutation_prevalence_VHL	mutation_prevalence_RB1	mutation_prevalence_CDKN2A	mutation_prevalence_SMAD4	mutation_prevalence_ARID1A	mutation_prevalence_TERT	mutation_prevalence_EGFR	mutation_prevalence_ERBB2	mutation_prevalence_ALK	mutation_prevalence_MET	mutation_prevalence_MYC	mutation_prevalence_CTNNB1	mutation_prevalence_POLE	mutation_prevalence_MSH2	mutation_prevalence_MSH6	mutation_prevalence_MLH1	mutation_prevalence_PMS2	mutation_prevalence_BRCA1	mutation_prevalence_BRCA2	median_purity	median_ploidy	median_aneuploidy_score	median_arm_gain_count	median_arm_loss_count	median_total_arm_alteration_count	median_proliferation_score	median_immune_inflammatory_score	median_interferon_gamma_score	median_cytotoxic_t_cell_score	median_stromal_score	median_epithelial_score	median_EMT_score	median_hypoxia_score	median_cell_cycle_score	median_DNA_repair_score	median_angiogenesis_score	median_lineage_or_tissue_PC1	median_lineage_or_tissue_PC2
TCGA-ACC	ACC	Adrenocortical Carcinoma	Neuroendocrine/adrenal/paraganglioma	Neuroendocrine/adrenal/paraganglioma	adrenal	Adrenal cortical malignancy; analyze carefully with PCPG only as endocrine-adjacent and not same lineage.	-0.618054576304112	-0.399648781275764	-0.624864347292493	-0.392158558761859	-0.528687794520604	-0.537104048878288	-0.312003498233751	-0.284869821977657	-0.576145336573797	-0.68601843766352	-0.255651512356241	-0.543809968431874	0.0792557106770322	-0.398100707822899	-0.218688900386173	-0.343071621245872	-0.394242731292764	-0.575073598819231	-0.615849836304583	0.155129435084701	-0.115751417441406	-0.800227351253783	-0.0880401970408413	-0.759237235645582	-0.583364756070864	1.80179698900053	-0.162696666595075	0.65440355723703	-0.230628354270338	0.746010951377558	0.660352538372813	-0.847656937128871	-0.988584912938601	1.22395592932296	0.864900244863577	1.44303457226102	2.81923568342213	0.872072299100511	1.44303457226102	-0.789041772656636	-0.530376430758523	-0.958456726733534	-0.527634590568487	-0.562326208199236	-1.17912015440591	0.467916769712961	0.00211642434135395	-0.862024488159291	-0.566364885110842	0.0998877950933735	0.849803982862652	0.273297494908171
TCGA-BLCA	BLCA	Bladder Urothelial Carcinoma	Carcinoma	Carcinoma	urothelial	Urothelial carcinoma.	1.14537703378123	0.352959353912877	1.05557934164587	0.286522250266731	0.504286908052166	-0.280874156425926	-0.156366166659604	-0.122790050065119	-0.281602200383526	0.929554626785855	-0.0982451636466566	-0.226173667575378	0.569108726028613	0.0574548855913226	-0.158215943200189	3.46038688211727	0.563328136002206	-0.163677107340788	2.03903073318672	0.0436678091542894	-0.216576350994155	3.5942232068928	0.237320273291891	0.862490223388058	-0.133852338264031	-0.0136299590165232	1.09900174409451	0.972520392580488	0.393853853701486	0.756771815574428	0.825421317273548	1.3614086541274	1.71977433765731	-0.426101886584905	2.12101453691484	0.903938637718227	0.787908662615792	0.588541403826453	0.903938637718227	0.479882533870862	-0.363775075734885	-0.242806437826293	-0.365285327688426	-0.128134964629889	1.17585475274177	-0.600184226866996	0.00205902033568274	0.563392582511012	0.159500853465373	-0.275248165581608	-0.514113387078454	0.782718003068621
TCGA-BRCA	BRCA	Breast Invasive Carcinoma	Carcinoma	Carcinoma	breast	Breast carcinoma with molecular subtypes.	-0.434363783586889	-0.377570825796564	-0.438991343324141	-0.377531632860562	-0.00253384826751315	-0.494776683203882	-0.337244241547963	-0.229337667185187	-0.576145336573797	1.90883553182644	-0.353844950783314	-0.0715685388224774	-0.237250439668119	-0.40079299347513	-0.218688900386173	-0.251565129932177	-0.584093974157324	-0.393847491640624	-0.288508719991671	-0.174871324315791	-0.305886865132899	0.148703558629077	-0.380057331177019	-0.339005229049008	-0.385348031827982	-0.504252684206839	-0.399883667879603	-0.246886201980937	-0.237654316609947	-0.146748634001592	-0.109834835219873	0.310825630632991	-0.15343490608282	-0.497843530754813	-0.167904839711902	0.364842703175429	-0.0246221457067435	0.305010508552395	0.364842703175429	-0.250256668628522	-0.281080130383638	-0.0264657445716613	-0.387193147770354	1.04618744751852	0.487089693918238	-0.183805137218089	-0.7246293977026	-0.270858810443618	-0.121758074985882	-0.0903658970062241	0.239635624789181	0.170645030571139
TCGA-CESC	CESC	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma	Carcinoma	Carcinoma	gynecologic_squamous_adeno	Mixed squamous and adenocarcinoma cohort.	0.116708594564781	0.114102974431013	0.304500672549267	0.231551114000913	-0.876019099437349	-0.175212345105364	-0.316203835962884	-0.284869821977657	-0.368143224934275	1.47050246925226	-0.207521204646869	0.0450042310295549	-0.145575221604076	-0.0415340544349777	-0.218688900386173	0.6571886102342	-0.223963781507025	0.29649319498304	-0.0568994520031007	0.4370303442048	-0.0661506421838451	0.903543857665793	0.10117792973241	-0.355034697341866	0.0515136072233248	-0.273102387383485	0.116519039210037	-0.0692043630705334	-0.0972019306806252	0.436978160679118	-0.505339353864334	1.38092911590581	0.350238036196181	0.00434797843453907	-0.279559443449792	-0.174253231367369	0.381643258454524	-0.26205128199572	-0.174253231367369	1.9172184301105	0.0199217929693943	0.969657501918024	0.0971281000826838	-0.509772585335536	0.389436050751134	-0.881850011268042	0.774153468181141	1.75052659282784	0.844996281310045	-0.494947388124764	-1.49496452157845	0.603147304597367
TCGA-CHOL	CHOL	Cholangiocarcinoma	Carcinoma	Carcinoma	gi_hepatobiliary	Biliary tract carcinoma.	-0.434363783586889	-0.473673280076469	-0.340364851422566	-0.406497224360002	-0.778798459141802	-0.171442639857729	-0.185246639652344	0.743136138763909	2.78655546826514	-0.339115406202771	-0.28259892850521	-0.317163232924895	-1.18379064634618	2.86522563454302	-0.218688900386173	-0.842343880869715	0.386256822705983	-0.575073598819231	0.483078013270808	-0.910236338343186	-0.581358694859156	1.16722273523668	-0.803137273547542	-0.759237235645582	-0.583364756070864	-0.537201367222071	0.0207987498215641	-0.721870330406772	-0.734876266797685	-0.728227443593675	-0.724203954039472	-0.847656937128871	-0.215574043497684	0.542410309708844	-0.893659764008184	0.00544541348023044	-0.430887549868011	0.305010508552395	0.00544541348023044	-0.728287184707058	-0.363747337730852	-0.0249381049816752	-0.363336934672014	-0.146473176165099	1.3505766315633	-0.282264013585535	-0.13842335505943	-0.748208423010745	-0.49705995148552	-0.211118213745017	0.536524335640541	0.478618694645082
TCGA-COAD	COAD	Colon Adenocarcinoma	Carcinoma	Carcinoma	gi_colorectal	Colorectal adenocarcinoma.	0.471844127151413	1.22040512183225	0.448647083790029	1.115143467269	0.707876696812935	2.2860171237069	0.672226227221875	-0.139739568696495	0.907399136149261	1.68411793388269	3.55463387400175	-0.00385745148877758	0.18327129302012	-0.286334306391249	-0.127312483461764	-0.166857882555102	-0.541284380178061	1.96325787847377	0.63533910086258	0.290911347384332	-0.0039143753165538	0.501761676570787	1.53494973640329	0.682220345805165	0.775088212448317	0.51764102872146	1.56000147811642	1.76081981985264	1.42547998589301	2.42982245151627	0.992917578216941	0.529915128006779	0.989413488277861	-0.0673936657353683	-0.112077537842957	0.364842703175429	0.787908662615792	0.0214796132783378	0.364842703175429	0.782217122296897	-0.266935522888064	-0.239555317113754	-0.263430875640534	-0.208080836885965	2.13780007751281	-1.02793119800952	0.20397423503154	0.757553236664378	0.371114768762845	-0.457774986576869	-0.647420280422525	1.22419478630478
TCGA-DLBC	DLBC	Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Hematolymphoid	Hematolymphoid	lymphoid	Limited TCGA hematolymphoid representation.	0.435105968607969	-0.190631277101507	0.410713817674039	-0.172344406162699	-0.697238224688456	-0.181325380642069	-0.190874839936847	-0.284869821977657	-0.576145336573797	-0.770400256126945	-0.286786702636469	-0.32328882037103	0.0724284330715029	-0.591323978094565	-0.218688900386173	-0.842343880869715	-0.584093974157324	-0.575073598819231	0.450156697034749	-0.910236338343186	-0.581358694859156	-0.800227351253783	-0.803137273547542	0.300428878285778	4.4098677768645	-0.537201367222071	-0.823280165694972	-0.721870330406772	-0.734876266797685	-0.728227443593675	-0.724203954039472	1.48934681578317	-0.988584912938601	-0.856551751604349	-0.363300396253208	-0.533650521062567	0.381643258454524	-1.11264396781789	-0.533650521062567	2.56145391420826	3.56879362593491	4.64558161969825	3.92138960542099	-0.418948072090636	-1.20739789491914	-0.684647530634111	0.248686544258072	2.36491811376626	2.01155680302452	-0.453070377279833	-2.53295977349511	-3.26942530609934
TCGA-ESCA	ESCA	Esophageal Carcinoma	Carcinoma	Carcinoma	gi_esophageal	Mixed squamous and adenocarcinoma cohort.	0.337137545825449	-0.125474290931969	0.554860228914802	-0.0324012213711449	1.76180284407992	-0.465948315231044	-0.312443966082103	-0.244860941343391	-0.248963636643522	-0.0570318016577718	-0.226482755146342	-0.279184590758861	-0.555681106637338	-0.591323978094565	-0.218688900386173	-0.221627017553586	0.832093675318853	0.795877411972449	0.0353481124604122	0.149370701174279	-0.00249559320465626	1.30547598455763	0.2637102568084	0.0884956554995056	-0.583364756070864	0.044387413244091	0.162239000529739	-0.379661688073718	0.769690477608235	-0.728227443593675	0.652868449224637	-0.380256186546464	0.0643812443538894	-0.426101886584905	0.948641197666994	1.08363728256583	0.787908662615792	0.872072299100511	1.08363728256583	0.989119102097929	-0.314067429453285	0.0777958180014452	-0.3611477674317	-0.115224594919353	0.276998489907066	-0.516146692483962	0.0903408746054173	0.928757747659658	1.15552022210883	-0.302911322657731	-0.746240731477427	0.680682459333385
TCGA-GBM	GBM	Glioblastoma Multiforme	CNS/glial	CNS/glial	adult_glioma	High-grade glioma.	-0.324149307956555	-0.256284368412512	-0.340364851422566	-0.272575982797806	-0.0861436144356576	-0.504439506136997	-0.244670937941571	0.192655527528103	-0.425950263404813	-0.0191298723880625	-0.312973280330693	2.1489557129761	1.5842553648769	-0.503102931618172	-0.218688900386173	1.32323405913643	-0.410731052633359	-0.470182806016725	-0.598995820135723	0.305813924130337	4.46753411485689	-0.360846438638045	-0.558265321790905	-0.0782111227219533	-0.430552842325117	-0.460920669323283	-0.446272213355079	-0.564777033057851	0.0709194048341053	-0.559952093299192	-0.724203954039472	-0.0966842671484516	-0.574266432047192	0.721764420133612	-0.642436905597933	-0.353951876214968	-0.0246221457067435	-0.545582177269777	-0.353951876214968	-0.278813406344095	-0.410026168026121	-0.229399265859742	-0.464769221864878	-0.425582937056249	-1.21528995965236	0.890912149999229	0.135145590891823	-0.286168171442986	-0.543753069881656	0.241843235815356	0.517842808797042	-0.0299727237030047
TCGA-HNSC	HNSC	Head and Neck Squamous Cell Carcinoma	Carcinoma	Carcinoma	pan_squamous	Squamous carcinoma.	0.361629651521079	-0.0371200314811367	0.312087325772465	-0.0716875758809283	1.23178550320135	-0.524172997085812	-0.260934323242561	-0.2267036693856	-0.4572286087013	0.6327583125851	-0.185490287893721	-0.351449674249134	-0.544575044049165	-0.486550652760616	-0.218688900386173	-0.120409925892998	2.98466180526921	0.00625631571096659	-0.325790318454435	-0.332552736248693	0.00773970721752605	-0.174044808991591	0.295499099395957	-0.451122137685187	0.142566889188893	-0.38621354181337	-0.166590086039673	0.0243999898087272	-0.461453037215076	-0.0620686403650236	0.0265575231821198	0.0866854277387107	0.159541250710383	-1.28700161662379	-0.307473094384263	0.18514405832783	0.381643258454524	0.305010508552395	0.18514405832783	0.652366490533507	-0.0309007411735936	0.882633991826969	-0.0532259265365337	0.0553840249199062	-0.427363866945261	0.12832815760984	1.71569493884885	0.724272758480861	0.191526536368018	-0.383935378661805	-0.764323180160289	-0.0960835046986942
